rank:1 |send count:25 | recv count: 24 |total Time:0.640780 |compute Time:0.000019 |commuTime:0.191085 |Sync Time:0.448362 |IO Time:0.000000
rank:16 |send count:25 | recv count: 24 |total Time:0.641600 |compute Time:0.000027 |commuTime:0.463469 |Sync Time:0.161661 |IO Time:0.000000
rank:8 |send count:25 | recv count: 24 |total Time:0.643096 |compute Time:0.000018 |commuTime:0.406312 |Sync Time:0.225885 |IO Time:0.000000
rank:24 |send count:25 | recv count: 24 |total Time:0.640981 |compute Time:0.000021 |commuTime:0.115110 |Sync Time:0.503446 |IO Time:0.000000
rank:2 |send count:13 | recv count: 12 |total Time:0.642521 |compute Time:0.000018 |commuTime:0.258020 |Sync Time:0.381429 |IO Time:0.000000
rank:3 |send count:25 | recv count: 24 |total Time:0.642569 |compute Time:0.000021 |commuTime:0.556320 |Sync Time:0.083131 |IO Time:0.000000
rank:4 |send count:13 | recv count: 12 |total Time:0.641265 |compute Time:0.000016 |commuTime:0.603508 |Sync Time:0.035926 |IO Time:0.000000
rank:5 |send count:37 | recv count: 36 |total Time:0.641403 |compute Time:0.000021 |commuTime:0.578839 |Sync Time:0.060590 |IO Time:0.000000
rank:6 |send count:13 | recv count: 12 |total Time:0.643447 |compute Time:0.000015 |commuTime:0.077853 |Sync Time:0.561580 |IO Time:0.000000
rank:7 |send count:25 | recv count: 24 |total Time:0.643493 |compute Time:0.000021 |commuTime:0.512241 |Sync Time:0.120121 |IO Time:0.000000
rank:32 |send count:13 | recv count: 12 |total Time:0.642828 |compute Time:0.000018 |commuTime:0.228392 |Sync Time:0.377137 |IO Time:0.000000
rank:33 |send count:37 | recv count: 36 |total Time:0.642860 |compute Time:0.000019 |commuTime:0.403254 |Sync Time:0.202270 |IO Time:0.000000
rank:34 |send count:25 | recv count: 24 |total Time:0.641655 |compute Time:0.000024 |commuTime:0.269775 |Sync Time:0.335744 |IO Time:0.000000
rank:35 |send count:13 | recv count: 12 |total Time:0.641743 |compute Time:0.000013 |commuTime:0.110972 |Sync Time:0.494547 |IO Time:0.000000
rank:36 |send count:25 | recv count: 24 |total Time:0.641653 |compute Time:0.000018 |commuTime:0.527439 |Sync Time:0.078082 |IO Time:0.000000
rank:37 |send count:37 | recv count: 36 |total Time:0.642197 |compute Time:0.000019 |commuTime:0.426086 |Sync Time:0.179864 |IO Time:0.000000
rank:38 |send count:73 | recv count: 72 |total Time:0.643368 |compute Time:0.000020 |commuTime:0.362383 |Sync Time:0.243567 |IO Time:0.000000
rank:39 |send count:37 | recv count: 36 |total Time:0.643401 |compute Time:0.000026 |commuTime:0.461703 |Sync Time:0.137260 |IO Time:0.000000
rank:64 |send count:13 | recv count: 12 |total Time:0.642126 |compute Time:0.000012 |commuTime:0.030548 |Sync Time:0.542978 |IO Time:0.000000
rank:65 |send count:13 | recv count: 12 |total Time:0.642261 |compute Time:0.000011 |commuTime:0.426610 |Sync Time:0.146914 |IO Time:0.000000
rank:66 |send count:37 | recv count: 36 |total Time:0.641562 |compute Time:0.000024 |commuTime:0.512493 |Sync Time:0.061006 |IO Time:0.000000
rank:67 |send count:61 | recv count: 60 |total Time:0.641703 |compute Time:0.000030 |commuTime:0.447585 |Sync Time:0.125908 |IO Time:0.000000
rank:68 |send count:13 | recv count: 12 |total Time:0.642144 |compute Time:0.000017 |commuTime:0.259597 |Sync Time:0.313913 |IO Time:0.000000
rank:69 |send count:13 | recv count: 12 |total Time:0.642244 |compute Time:0.000023 |commuTime:0.473715 |Sync Time:0.099372 |IO Time:0.000000
rank:70 |send count:25 | recv count: 24 |total Time:0.643735 |compute Time:0.000018 |commuTime:0.469226 |Sync Time:0.103835 |IO Time:0.000000
rank:71 |send count:49 | recv count: 48 |total Time:0.643780 |compute Time:0.000017 |commuTime:0.313643 |Sync Time:0.252579 |IO Time:0.000000
rank:96 |send count:25 | recv count: 24 |total Time:0.641920 |compute Time:0.000020 |commuTime:0.438967 |Sync Time:0.107232 |IO Time:0.000000
rank:97 |send count:25 | recv count: 24 |total Time:0.642269 |compute Time:0.000019 |commuTime:0.100787 |Sync Time:0.445645 |IO Time:0.000000
rank:98 |send count:25 | recv count: 24 |total Time:0.642521 |compute Time:0.000022 |commuTime:0.043000 |Sync Time:0.503421 |IO Time:0.000000
rank:99 |send count:13 | recv count: 12 |total Time:0.642599 |compute Time:0.000019 |commuTime:0.048706 |Sync Time:0.497720 |IO Time:0.000000
rank:100 |send count:25 | recv count: 24 |total Time:0.644351 |compute Time:0.000023 |commuTime:0.235678 |Sync Time:0.310734 |IO Time:0.000000
rank:101 |send count:13 | recv count: 12 |total Time:0.644388 |compute Time:0.000017 |commuTime:0.356406 |Sync Time:0.190007 |IO Time:0.000000
rank:102 |send count:25 | recv count: 24 |total Time:0.640998 |compute Time:0.000019 |commuTime:0.477195 |Sync Time:0.069220 |IO Time:0.000000
rank:103 |send count:13 | recv count: 12 |total Time:0.641019 |compute Time:0.000020 |commuTime:0.155488 |Sync Time:0.384628 |IO Time:0.000000
rank:128 |send count:25 | recv count: 24 |total Time:0.641890 |compute Time:0.000014 |commuTime:0.034115 |Sync Time:0.485568 |IO Time:0.000000
rank:129 |send count:25 | recv count: 24 |total Time:0.641917 |compute Time:0.000019 |commuTime:0.021246 |Sync Time:0.498427 |IO Time:0.000000
rank:130 |send count:13 | recv count: 12 |total Time:0.644705 |compute Time:0.000015 |commuTime:0.368119 |Sync Time:0.151565 |IO Time:0.000000
rank:131 |send count:13 | recv count: 12 |total Time:0.644724 |compute Time:0.000015 |commuTime:0.052257 |Sync Time:0.467423 |IO Time:0.000000
rank:132 |send count:37 | recv count: 36 |total Time:0.644738 |compute Time:0.000020 |commuTime:0.453012 |Sync Time:0.066664 |IO Time:0.000000
rank:133 |send count:25 | recv count: 24 |total Time:0.644961 |compute Time:0.000019 |commuTime:0.084813 |Sync Time:0.435075 |IO Time:0.000000
rank:134 |send count:13 | recv count: 12 |total Time:0.642543 |compute Time:0.000022 |commuTime:0.136608 |Sync Time:0.383274 |IO Time:0.000000
rank:135 |send count:13 | recv count: 12 |total Time:0.642621 |compute Time:0.000015 |commuTime:0.026532 |Sync Time:0.481681 |IO Time:0.000000
rank:160 |send count:13 | recv count: 12 |total Time:0.643749 |compute Time:0.000014 |commuTime:0.448384 |Sync Time:0.034094 |IO Time:0.000000
rank:161 |send count:37 | recv count: 36 |total Time:0.643834 |compute Time:0.000020 |commuTime:0.204123 |Sync Time:0.278357 |IO Time:0.000000
rank:162 |send count:25 | recv count: 24 |total Time:0.643777 |compute Time:0.000018 |commuTime:0.447885 |Sync Time:0.034586 |IO Time:0.000000
rank:163 |send count:61 | recv count: 60 |total Time:0.643867 |compute Time:0.000022 |commuTime:0.246935 |Sync Time:0.235533 |IO Time:0.000000
rank:164 |send count:73 | recv count: 72 |total Time:0.642525 |compute Time:0.000024 |commuTime:0.215148 |Sync Time:0.267317 |IO Time:0.000000
rank:165 |send count:13 | recv count: 12 |total Time:0.642532 |compute Time:0.000017 |commuTime:0.204176 |Sync Time:0.278287 |IO Time:0.000000
rank:166 |send count:37 | recv count: 36 |total Time:0.644713 |compute Time:0.000015 |commuTime:0.339372 |Sync Time:0.143090 |IO Time:0.000000
rank:167 |send count:49 | recv count: 48 |total Time:0.644751 |compute Time:0.000021 |commuTime:0.209980 |Sync Time:0.265316 |IO Time:0.000000
rank:192 |send count:49 | recv count: 48 |total Time:0.642278 |compute Time:0.000021 |commuTime:0.324997 |Sync Time:0.128978 |IO Time:0.000000
rank:193 |send count:49 | recv count: 48 |total Time:0.642667 |compute Time:0.000021 |commuTime:0.261480 |Sync Time:0.192744 |IO Time:0.000000
rank:194 |send count:37 | recv count: 36 |total Time:0.643811 |compute Time:0.000015 |commuTime:0.222927 |Sync Time:0.231305 |IO Time:0.000000
rank:195 |send count:13 | recv count: 12 |total Time:0.643872 |compute Time:0.000020 |commuTime:0.175235 |Sync Time:0.278991 |IO Time:0.000000
rank:196 |send count:37 | recv count: 36 |total Time:0.644719 |compute Time:0.000021 |commuTime:0.219769 |Sync Time:0.234455 |IO Time:0.000000
rank:197 |send count:37 | recv count: 36 |total Time:0.644783 |compute Time:0.000023 |commuTime:0.404557 |Sync Time:0.049656 |IO Time:0.000000
rank:198 |send count:13 | recv count: 12 |total Time:0.643512 |compute Time:0.000018 |commuTime:0.277499 |Sync Time:0.176713 |IO Time:0.000000
rank:199 |send count:13 | recv count: 12 |total Time:0.643626 |compute Time:0.000018 |commuTime:0.289903 |Sync Time:0.157879 |IO Time:0.000000
rank:224 |send count:13 | recv count: 12 |total Time:0.644093 |compute Time:0.000023 |commuTime:0.029472 |Sync Time:0.386864 |IO Time:0.000000
rank:225 |send count:13 | recv count: 12 |total Time:0.644162 |compute Time:0.000024 |commuTime:0.038213 |Sync Time:0.378098 |IO Time:0.000000
rank:226 |send count:25 | recv count: 24 |total Time:0.644462 |compute Time:0.000023 |commuTime:0.287324 |Sync Time:0.128986 |IO Time:0.000000
rank:227 |send count:25 | recv count: 24 |total Time:0.644518 |compute Time:0.000016 |commuTime:0.103219 |Sync Time:0.313082 |IO Time:0.000000
rank:228 |send count:37 | recv count: 36 |total Time:0.644462 |compute Time:0.000022 |commuTime:0.276559 |Sync Time:0.139687 |IO Time:0.000000
rank:229 |send count:37 | recv count: 36 |total Time:0.644755 |compute Time:0.000020 |commuTime:0.255955 |Sync Time:0.160527 |IO Time:0.000000
rank:230 |send count:13 | recv count: 12 |total Time:0.642262 |compute Time:0.000022 |commuTime:0.287944 |Sync Time:0.128538 |IO Time:0.000000
rank:231 |send count:13 | recv count: 12 |total Time:0.642291 |compute Time:0.000020 |commuTime:0.048664 |Sync Time:0.361030 |IO Time:0.000000
rank:256 |send count:13 | recv count: 12 |total Time:0.642604 |compute Time:0.000017 |commuTime:0.147547 |Sync Time:0.240237 |IO Time:0.000000
rank:257 |send count:49 | recv count: 48 |total Time:0.642756 |compute Time:0.000021 |commuTime:0.342663 |Sync Time:0.045111 |IO Time:0.000000
rank:258 |send count:49 | recv count: 48 |total Time:0.645089 |compute Time:0.000024 |commuTime:0.246157 |Sync Time:0.141625 |IO Time:0.000000
rank:259 |send count:13 | recv count: 12 |total Time:0.645128 |compute Time:0.000016 |commuTime:0.021761 |Sync Time:0.366019 |IO Time:0.000000
rank:260 |send count:13 | recv count: 12 |total Time:0.645683 |compute Time:0.000018 |commuTime:0.034569 |Sync Time:0.353199 |IO Time:0.000000
rank:261 |send count:49 | recv count: 48 |total Time:0.645719 |compute Time:0.000021 |commuTime:0.120580 |Sync Time:0.267184 |IO Time:0.000000
rank:262 |send count:13 | recv count: 12 |total Time:0.644487 |compute Time:0.000015 |commuTime:0.030696 |Sync Time:0.357065 |IO Time:0.000000
rank:263 |send count:13 | recv count: 12 |total Time:0.644551 |compute Time:0.000019 |commuTime:0.225630 |Sync Time:0.155199 |IO Time:0.000000
rank:288 |send count:13 | recv count: 12 |total Time:0.645099 |compute Time:0.000013 |commuTime:0.023440 |Sync Time:0.322987 |IO Time:0.000000
rank:289 |send count:25 | recv count: 24 |total Time:0.645363 |compute Time:0.000019 |commuTime:0.073706 |Sync Time:0.272917 |IO Time:0.000000
rank:290 |send count:37 | recv count: 36 |total Time:0.645365 |compute Time:0.000019 |commuTime:0.191160 |Sync Time:0.155457 |IO Time:0.000000
rank:291 |send count:145 | recv count: 144 |total Time:0.645394 |compute Time:0.000026 |commuTime:0.258528 |Sync Time:0.088077 |IO Time:0.000000
rank:292 |send count:37 | recv count: 36 |total Time:0.645067 |compute Time:0.000022 |commuTime:0.263256 |Sync Time:0.083348 |IO Time:0.000000
rank:293 |send count:49 | recv count: 48 |total Time:0.645140 |compute Time:0.000023 |commuTime:0.120065 |Sync Time:0.226537 |IO Time:0.000000
rank:294 |send count:13 | recv count: 12 |total Time:0.645100 |compute Time:0.000015 |commuTime:0.044828 |Sync Time:0.301762 |IO Time:0.000000
rank:295 |send count:13 | recv count: 12 |total Time:0.645171 |compute Time:0.000021 |commuTime:0.182228 |Sync Time:0.155620 |IO Time:0.000000
rank:320 |send count:13 | recv count: 12 |total Time:0.644155 |compute Time:0.000013 |commuTime:0.052973 |Sync Time:0.257131 |IO Time:0.000000
rank:321 |send count:25 | recv count: 24 |total Time:0.644235 |compute Time:0.000019 |commuTime:0.037021 |Sync Time:0.273067 |IO Time:0.000000
rank:322 |send count:13 | recv count: 12 |total Time:0.644215 |compute Time:0.000017 |commuTime:0.020504 |Sync Time:0.289584 |IO Time:0.000000
rank:323 |send count:13 | recv count: 12 |total Time:0.644296 |compute Time:0.000014 |commuTime:0.244592 |Sync Time:0.065490 |IO Time:0.000000
rank:324 |send count:49 | recv count: 48 |total Time:0.644820 |compute Time:0.000016 |commuTime:0.148950 |Sync Time:0.161136 |IO Time:0.000000
rank:325 |send count:25 | recv count: 24 |total Time:0.645166 |compute Time:0.000018 |commuTime:0.204364 |Sync Time:0.105970 |IO Time:0.000000
rank:326 |send count:25 | recv count: 24 |total Time:0.644537 |compute Time:0.000018 |commuTime:0.132353 |Sync Time:0.177986 |IO Time:0.000000
rank:327 |send count:13 | recv count: 12 |total Time:0.644611 |compute Time:0.000012 |commuTime:0.030935 |Sync Time:0.265330 |IO Time:0.000000
