rank:1 |send count:25 | recv count: 24 |total Time:0.920359 |compute Time:0.000017 |commuTime:0.316166 |Sync Time:0.597538 |IO Time:0.000000
rank:8 |send count:25 | recv count: 24 |total Time:0.923061 |compute Time:0.000029 |commuTime:0.546759 |Sync Time:0.324302 |IO Time:0.000000
rank:2 |send count:13 | recv count: 12 |total Time:0.881098 |compute Time:0.000017 |commuTime:0.331964 |Sync Time:0.549105 |IO Time:0.000000
rank:16 |send count:25 | recv count: 24 |total Time:0.922455 |compute Time:0.000028 |commuTime:0.620986 |Sync Time:0.240198 |IO Time:0.000000
rank:3 |send count:25 | recv count: 24 |total Time:0.881138 |compute Time:0.000021 |commuTime:0.773586 |Sync Time:0.107498 |IO Time:0.000000
rank:4 |send count:13 | recv count: 12 |total Time:0.920982 |compute Time:0.000022 |commuTime:0.845622 |Sync Time:0.035456 |IO Time:0.000000
rank:5 |send count:37 | recv count: 36 |total Time:0.921043 |compute Time:0.000026 |commuTime:0.801759 |Sync Time:0.079303 |IO Time:0.000000
rank:6 |send count:13 | recv count: 12 |total Time:0.883963 |compute Time:0.000022 |commuTime:0.100791 |Sync Time:0.780264 |IO Time:0.000000
rank:7 |send count:25 | recv count: 24 |total Time:0.884009 |compute Time:0.000020 |commuTime:0.699589 |Sync Time:0.171755 |IO Time:0.000000
rank:24 |send count:25 | recv count: 24 |total Time:0.921551 |compute Time:0.000019 |commuTime:0.143270 |Sync Time:0.706666 |IO Time:0.000000
rank:25 |send count:25 | recv count: 24 |total Time:0.921641 |compute Time:0.000024 |commuTime:0.414524 |Sync Time:0.435417 |IO Time:0.000000
rank:26 |send count:13 | recv count: 12 |total Time:0.882510 |compute Time:0.000023 |commuTime:0.632836 |Sync Time:0.217108 |IO Time:0.000000
rank:27 |send count:25 | recv count: 24 |total Time:0.882581 |compute Time:0.000018 |commuTime:0.698552 |Sync Time:0.151397 |IO Time:0.000000
rank:28 |send count:25 | recv count: 24 |total Time:0.922266 |compute Time:0.000030 |commuTime:0.174587 |Sync Time:0.675365 |IO Time:0.000000
rank:29 |send count:25 | recv count: 24 |total Time:0.922729 |compute Time:0.000030 |commuTime:0.179146 |Sync Time:0.671144 |IO Time:0.000000
rank:30 |send count:25 | recv count: 24 |total Time:0.883214 |compute Time:0.000034 |commuTime:0.537817 |Sync Time:0.312472 |IO Time:0.000000
rank:31 |send count:49 | recv count: 48 |total Time:0.883255 |compute Time:0.000021 |commuTime:0.612294 |Sync Time:0.229145 |IO Time:0.000000
rank:48 |send count:37 | recv count: 36 |total Time:0.923398 |compute Time:0.000026 |commuTime:0.703096 |Sync Time:0.119049 |IO Time:0.000000
rank:49 |send count:25 | recv count: 24 |total Time:0.923447 |compute Time:0.000028 |commuTime:0.347147 |Sync Time:0.474984 |IO Time:0.000000
rank:50 |send count:85 | recv count: 84 |total Time:0.883313 |compute Time:0.000032 |commuTime:0.711020 |Sync Time:0.111090 |IO Time:0.000000
rank:51 |send count:13 | recv count: 12 |total Time:0.883371 |compute Time:0.000026 |commuTime:0.079448 |Sync Time:0.742672 |IO Time:0.000000
rank:52 |send count:13 | recv count: 12 |total Time:0.922734 |compute Time:0.000023 |commuTime:0.036465 |Sync Time:0.785655 |IO Time:0.000000
rank:53 |send count:13 | recv count: 12 |total Time:0.922827 |compute Time:0.000019 |commuTime:0.650412 |Sync Time:0.171706 |IO Time:0.000000
rank:54 |send count:37 | recv count: 36 |total Time:0.884300 |compute Time:0.000025 |commuTime:0.442575 |Sync Time:0.379533 |IO Time:0.000000
rank:55 |send count:61 | recv count: 60 |total Time:0.884366 |compute Time:0.000026 |commuTime:0.528884 |Sync Time:0.284218 |IO Time:0.000000
rank:72 |send count:61 | recv count: 60 |total Time:0.922499 |compute Time:0.000025 |commuTime:0.524687 |Sync Time:0.264569 |IO Time:0.000000
rank:73 |send count:25 | recv count: 24 |total Time:0.922880 |compute Time:0.000019 |commuTime:0.344863 |Sync Time:0.444640 |IO Time:0.000000
rank:74 |send count:13 | recv count: 12 |total Time:0.882417 |compute Time:0.000020 |commuTime:0.048710 |Sync Time:0.740783 |IO Time:0.000000
rank:75 |send count:13 | recv count: 12 |total Time:0.882428 |compute Time:0.000016 |commuTime:0.029669 |Sync Time:0.759825 |IO Time:0.000000
