rank:1 |send count:211 | recv count: 210 |total Time:0.447137 |compute Time:0.000021 |commuTime:0.398636 |Sync Time:0.046515 |IO Time:0.000000
rank:2 |send count:171 | recv count: 170 |total Time:0.441774 |compute Time:0.000013 |commuTime:0.395215 |Sync Time:0.046535 |IO Time:0.000000
rank:3 |send count:231 | recv count: 230 |total Time:0.441792 |compute Time:0.000020 |commuTime:0.399826 |Sync Time:0.038793 |IO Time:0.000000
rank:12 |send count:171 | recv count: 170 |total Time:0.444300 |compute Time:0.000014 |commuTime:0.365735 |Sync Time:0.064532 |IO Time:0.000000
rank:13 |send count:201 | recv count: 200 |total Time:0.444316 |compute Time:0.000015 |commuTime:0.395672 |Sync Time:0.034595 |IO Time:0.000000
rank:14 |send count:161 | recv count: 160 |total Time:0.440807 |compute Time:0.000009 |commuTime:0.385795 |Sync Time:0.044478 |IO Time:0.000000
rank:15 |send count:201 | recv count: 200 |total Time:0.440820 |compute Time:0.000023 |commuTime:0.381204 |Sync Time:0.038184 |IO Time:0.000000
rank:24 |send count:141 | recv count: 140 |total Time:0.446844 |compute Time:0.000023 |commuTime:0.374451 |Sync Time:0.032846 |IO Time:0.000000
rank:25 |send count:261 | recv count: 260 |total Time:0.447153 |compute Time:0.000027 |commuTime:0.360646 |Sync Time:0.046645 |IO Time:0.000000
rank:26 |send count:181 | recv count: 180 |total Time:0.440941 |compute Time:0.000021 |commuTime:0.368798 |Sync Time:0.038494 |IO Time:0.000000
rank:27 |send count:211 | recv count: 210 |total Time:0.440957 |compute Time:0.000020 |commuTime:0.341154 |Sync Time:0.043968 |IO Time:0.000000
rank:36 |send count:241 | recv count: 240 |total Time:0.444336 |compute Time:0.000024 |commuTime:0.290124 |Sync Time:0.062646 |IO Time:0.000000
rank:37 |send count:171 | recv count: 170 |total Time:0.444480 |compute Time:0.000022 |commuTime:0.282400 |Sync Time:0.070604 |IO Time:0.000000
rank:8 |send count:231 | recv count: 230 |total Time:0.446810 |compute Time:0.000028 |commuTime:0.425838 |Sync Time:0.010494 |IO Time:0.000000
rank:4 |send count:231 | recv count: 230 |total Time:0.444300 |compute Time:0.000024 |commuTime:0.403205 |Sync Time:0.035392 |IO Time:0.000000
rank:38 |send count:271 | recv count: 270 |total Time:0.441511 |compute Time:0.000015 |commuTime:0.324180 |Sync Time:0.028827 |IO Time:0.000000
rank:5 |send count:221 | recv count: 220 |total Time:0.444307 |compute Time:0.000027 |commuTime:0.426545 |Sync Time:0.012046 |IO Time:0.000000
rank:39 |send count:271 | recv count: 270 |total Time:0.441772 |compute Time:0.000022 |commuTime:0.301852 |Sync Time:0.029078 |IO Time:0.000000
rank:48 |send count:171 | recv count: 170 |total Time:0.447108 |compute Time:0.000016 |commuTime:0.266999 |Sync Time:0.048500 |IO Time:0.000000
rank:49 |send count:151 | recv count: 0 |total Time:0.447408 |compute Time:0.000008 |commuTime:0.028101 |Sync Time:0.287406 |IO Time:0.000000
rank:50 |send count:191 | recv count: 190 |total Time:0.441752 |compute Time:0.000018 |commuTime:0.244676 |Sync Time:0.070817 |IO Time:0.000000
rank:51 |send count:181 | recv count: 180 |total Time:0.441762 |compute Time:0.000022 |commuTime:0.251491 |Sync Time:0.035094 |IO Time:0.000000
rank:60 |send count:161 | recv count: 160 |total Time:0.444581 |compute Time:0.000015 |commuTime:0.233154 |Sync Time:0.025682 |IO Time:0.000000
rank:61 |send count:181 | recv count: 180 |total Time:0.444579 |compute Time:0.000022 |commuTime:0.221347 |Sync Time:0.037484 |IO Time:0.000000
rank:62 |send count:171 | recv count: 170 |total Time:0.440627 |compute Time:0.000017 |commuTime:0.232527 |Sync Time:0.026305 |IO Time:0.000000
rank:72 |send count:241 | recv count: 240 |total Time:0.447427 |compute Time:0.000026 |commuTime:0.163122 |Sync Time:0.040988 |IO Time:0.000000
rank:63 |send count:221 | recv count: 220 |total Time:0.440628 |compute Time:0.000020 |commuTime:0.212602 |Sync Time:0.025613 |IO Time:0.000000
rank:73 |send count:161 | recv count: 160 |total Time:0.441984 |compute Time:0.000024 |commuTime:0.179734 |Sync Time:0.024543 |IO Time:0.000000
rank:74 |send count:241 | recv count: 240 |total Time:0.444786 |compute Time:0.000028 |commuTime:0.180292 |Sync Time:0.023979 |IO Time:0.000000
rank:75 |send count:221 | recv count: 220 |total Time:0.441295 |compute Time:0.000023 |commuTime:0.158395 |Sync Time:0.024302 |IO Time:0.000000
rank:84 |send count:261 | recv count: 260 |total Time:0.447628 |compute Time:0.000025 |commuTime:0.109484 |Sync Time:0.021905 |IO Time:0.000000
rank:85 |send count:231 | recv count: 230 |total Time:0.442276 |compute Time:0.000024 |commuTime:0.100167 |Sync Time:0.031219 |IO Time:0.000000
rank:86 |send count:181 | recv count: 180 |total Time:0.444826 |compute Time:0.000024 |commuTime:0.070759 |Sync Time:0.060624 |IO Time:0.000000
rank:96 |send count:231 | recv count: 230 |total Time:0.447634 |compute Time:0.000024 |commuTime:0.039018 |Sync Time:0.020891 |IO Time:0.000000
rank:87 |send count:241 | recv count: 240 |total Time:0.442290 |compute Time:0.000013 |commuTime:0.080970 |Sync Time:0.022878 |IO Time:0.000000
rank:97 |send count:231 | recv count: 230 |total Time:0.441432 |compute Time:0.000023 |commuTime:0.049561 |Sync Time:0.010342 |IO Time:0.000000
rank:98 |send count:191 | recv count: 190 |total Time:0.444830 |compute Time:0.000021 |commuTime:0.050356 |Sync Time:0.009555 |IO Time:0.000000
rank:99 |send count:151 | recv count: 150 |total Time:0.441167 |compute Time:0.000012 |commuTime:0.049341 |Sync Time:0.010579 |IO Time:0.000000
