rank:1 |send count:211 | recv count: 210 |total Time:0.342776 |compute Time:0.000025 |commuTime:0.312462 |Sync Time:0.029091 |IO Time:0.000000
rank:2 |send count:171 | recv count: 170 |total Time:0.342781 |compute Time:0.000019 |commuTime:0.312272 |Sync Time:0.029302 |IO Time:0.000000
rank:3 |send count:231 | recv count: 230 |total Time:0.342785 |compute Time:0.000025 |commuTime:0.310712 |Sync Time:0.029087 |IO Time:0.000000
rank:16 |send count:231 | recv count: 230 |total Time:0.343374 |compute Time:0.000023 |commuTime:0.293166 |Sync Time:0.030146 |IO Time:0.000000
rank:17 |send count:191 | recv count: 190 |total Time:0.343365 |compute Time:0.000025 |commuTime:0.293691 |Sync Time:0.029615 |IO Time:0.000000
rank:18 |send count:151 | recv count: 150 |total Time:0.343377 |compute Time:0.000012 |commuTime:0.292949 |Sync Time:0.030371 |IO Time:0.000000
rank:19 |send count:161 | recv count: 160 |total Time:0.343389 |compute Time:0.000014 |commuTime:0.288197 |Sync Time:0.027413 |IO Time:0.000000
rank:32 |send count:191 | recv count: 190 |total Time:0.343378 |compute Time:0.000016 |commuTime:0.255299 |Sync Time:0.029708 |IO Time:0.000000
rank:33 |send count:151 | recv count: 150 |total Time:0.343382 |compute Time:0.000016 |commuTime:0.255758 |Sync Time:0.029249 |IO Time:0.000000
rank:35 |send count:221 | recv count: 220 |total Time:0.343392 |compute Time:0.000017 |commuTime:0.258006 |Sync Time:0.023090 |IO Time:0.000000
rank:48 |send count:171 | recv count: 170 |total Time:0.343384 |compute Time:0.000028 |commuTime:0.210070 |Sync Time:0.029799 |IO Time:0.000000
rank:49 |send count:151 | recv count: 0 |total Time:0.343444 |compute Time:0.000007 |commuTime:0.009622 |Sync Time:0.230314 |IO Time:0.000000
rank:50 |send count:191 | recv count: 190 |total Time:0.343129 |compute Time:0.000021 |commuTime:0.183013 |Sync Time:0.056906 |IO Time:0.000000
rank:51 |send count:181 | recv count: 180 |total Time:0.343149 |compute Time:0.000016 |commuTime:0.199188 |Sync Time:0.031194 |IO Time:0.000000
rank:64 |send count:171 | recv count: 170 |total Time:0.342840 |compute Time:0.000018 |commuTime:0.160625 |Sync Time:0.022441 |IO Time:0.000000
rank:65 |send count:221 | recv count: 220 |total Time:0.342843 |compute Time:0.000018 |commuTime:0.160702 |Sync Time:0.022361 |IO Time:0.000000
rank:66 |send count:211 | recv count: 210 |total Time:0.343138 |compute Time:0.000015 |commuTime:0.162795 |Sync Time:0.020266 |IO Time:0.000000
rank:34 |send count:151 | recv count: 150 |total Time:0.343381 |compute Time:0.000020 |commuTime:0.255868 |Sync Time:0.029133 |IO Time:0.000000
rank:67 |send count:231 | recv count: 230 |total Time:0.343285 |compute Time:0.000027 |commuTime:0.118597 |Sync Time:0.050343 |IO Time:0.000000
rank:8 |send count:231 | recv count: 230 |total Time:0.343037 |compute Time:0.000019 |commuTime:0.327566 |Sync Time:0.009905 |IO Time:0.000000
rank:80 |send count:231 | recv count: 230 |total Time:0.343298 |compute Time:0.000022 |commuTime:0.101643 |Sync Time:0.011585 |IO Time:0.000000
rank:81 |send count:221 | recv count: 220 |total Time:0.343293 |compute Time:0.000018 |commuTime:0.078502 |Sync Time:0.034722 |IO Time:0.000000
rank:82 |send count:261 | recv count: 260 |total Time:0.343195 |compute Time:0.000023 |commuTime:0.096918 |Sync Time:0.016299 |IO Time:0.000000
rank:83 |send count:241 | recv count: 240 |total Time:0.343321 |compute Time:0.000017 |commuTime:0.063139 |Sync Time:0.031926 |IO Time:0.000000
rank:96 |send count:231 | recv count: 230 |total Time:0.343309 |compute Time:0.000020 |commuTime:0.026533 |Sync Time:0.009505 |IO Time:0.000000
rank:97 |send count:231 | recv count: 230 |total Time:0.343312 |compute Time:0.000020 |commuTime:0.030723 |Sync Time:0.005311 |IO Time:0.000000
rank:98 |send count:191 | recv count: 190 |total Time:0.343618 |compute Time:0.000025 |commuTime:0.025564 |Sync Time:0.010468 |IO Time:0.000000
rank:99 |send count:151 | recv count: 150 |total Time:0.343618 |compute Time:0.000020 |commuTime:0.025006 |Sync Time:0.011026 |IO Time:0.000000
rank:12 |send count:171 | recv count: 170 |total Time:0.342876 |compute Time:0.000019 |commuTime:0.279105 |Sync Time:0.053427 |IO Time:0.000000
rank:4 |send count:231 | recv count: 230 |total Time:0.343019 |compute Time:0.000025 |commuTime:0.309822 |Sync Time:0.029961 |IO Time:0.000000
rank:14 |send count:161 | recv count: 160 |total Time:0.342880 |compute Time:0.000019 |commuTime:0.319385 |Sync Time:0.013138 |IO Time:0.000000
rank:5 |send count:221 | recv count: 220 |total Time:0.343023 |compute Time:0.000027 |commuTime:0.331404 |Sync Time:0.008374 |IO Time:0.000000
rank:29 |send count:191 | recv count: 190 |total Time:0.342891 |compute Time:0.000019 |commuTime:0.250080 |Sync Time:0.047943 |IO Time:0.000000
rank:38 |send count:271 | recv count: 270 |total Time:0.343021 |compute Time:0.000025 |commuTime:0.272873 |Sync Time:0.008207 |IO Time:0.000000
rank:47 |send count:201 | recv count: 200 |total Time:0.342923 |compute Time:0.000026 |commuTime:0.191491 |Sync Time:0.048396 |IO Time:0.000000
rank:52 |send count:221 | recv count: 220 |total Time:0.343414 |compute Time:0.000026 |commuTime:0.200153 |Sync Time:0.030200 |IO Time:0.000000
rank:42 |send count:191 | recv count: 190 |total Time:0.343061 |compute Time:0.000021 |commuTime:0.251406 |Sync Time:0.014528 |IO Time:0.000000
rank:63 |send count:221 | recv count: 220 |total Time:0.343870 |compute Time:0.000019 |commuTime:0.176138 |Sync Time:0.007445 |IO Time:0.000000
rank:79 |send count:261 | recv count: 260 |total Time:0.343489 |compute Time:0.000017 |commuTime:0.080636 |Sync Time:0.032974 |IO Time:0.000000
rank:59 |send count:171 | recv count: 170 |total Time:0.343971 |compute Time:0.000018 |commuTime:0.192279 |Sync Time:0.015801 |IO Time:0.000000
rank:61 |send count:181 | recv count: 180 |total Time:0.343866 |compute Time:0.000028 |commuTime:0.175015 |Sync Time:0.032719 |IO Time:0.000000
rank:7 |send count:251 | recv count: 250 |total Time:0.347553 |compute Time:0.000028 |commuTime:0.312113 |Sync Time:0.030082 |IO Time:0.000000
rank:20 |send count:181 | recv count: 180 |total Time:0.347824 |compute Time:0.000020 |commuTime:0.286496 |Sync Time:0.033556 |IO Time:0.000000
rank:10 |send count:181 | recv count: 180 |total Time:0.348653 |compute Time:0.000014 |commuTime:0.328582 |Sync Time:0.014801 |IO Time:0.000000
rank:24 |send count:141 | recv count: 140 |total Time:0.349296 |compute Time:0.000015 |commuTime:0.283322 |Sync Time:0.031747 |IO Time:0.000000
rank:21 |send count:111 | recv count: 110 |total Time:0.349341 |compute Time:0.000019 |commuTime:0.308970 |Sync Time:0.012625 |IO Time:0.000000
rank:36 |send count:241 | recv count: 240 |total Time:0.350250 |compute Time:0.000028 |commuTime:0.235914 |Sync Time:0.052366 |IO Time:0.000000
rank:22 |send count:81 | recv count: 80 |total Time:0.351533 |compute Time:0.000007 |commuTime:0.254181 |Sync Time:0.069582 |IO Time:0.000000
rank:11 |send count:181 | recv count: 180 |total Time:0.351670 |compute Time:0.000012 |commuTime:0.311236 |Sync Time:0.031230 |IO Time:0.000000
rank:23 |send count:221 | recv count: 220 |total Time:0.353004 |compute Time:0.000023 |commuTime:0.249270 |Sync Time:0.069506 |IO Time:0.000000
rank:25 |send count:261 | recv count: 260 |total Time:0.353754 |compute Time:0.000023 |commuTime:0.287816 |Sync Time:0.031693 |IO Time:0.000000
rank:43 |send count:191 | recv count: 190 |total Time:0.354183 |compute Time:0.000015 |commuTime:0.240527 |Sync Time:0.032766 |IO Time:0.000000
rank:31 |send count:211 | recv count: 210 |total Time:0.355134 |compute Time:0.000020 |commuTime:0.264896 |Sync Time:0.031960 |IO Time:0.000000
rank:40 |send count:201 | recv count: 200 |total Time:0.355660 |compute Time:0.000016 |commuTime:0.242706 |Sync Time:0.035834 |IO Time:0.000000
rank:26 |send count:181 | recv count: 180 |total Time:0.356391 |compute Time:0.000017 |commuTime:0.312469 |Sync Time:0.009999 |IO Time:0.000000
rank:90 |send count:191 | recv count: 190 |total Time:0.356847 |compute Time:0.000021 |commuTime:0.070402 |Sync Time:0.018259 |IO Time:0.000000
rank:9 |send count:161 | recv count: 160 |total Time:0.357891 |compute Time:0.000015 |commuTime:0.294049 |Sync Time:0.058262 |IO Time:0.000000
rank:72 |send count:241 | recv count: 240 |total Time:0.358644 |compute Time:0.000022 |commuTime:0.140277 |Sync Time:0.032472 |IO Time:0.000000
rank:41 |send count:211 | recv count: 210 |total Time:0.359695 |compute Time:0.000023 |commuTime:0.212682 |Sync Time:0.069577 |IO Time:0.000000
rank:30 |send count:261 | recv count: 260 |total Time:0.359939 |compute Time:0.000024 |commuTime:0.265800 |Sync Time:0.049245 |IO Time:0.000000
rank:28 |send count:171 | recv count: 170 |total Time:0.360667 |compute Time:0.000022 |commuTime:0.307372 |Sync Time:0.008439 |IO Time:0.000000
rank:69 |send count:221 | recv count: 220 |total Time:0.361600 |compute Time:0.000025 |commuTime:0.156644 |Sync Time:0.030629 |IO Time:0.000000
rank:53 |send count:211 | recv count: 210 |total Time:0.362670 |compute Time:0.000024 |commuTime:0.179822 |Sync Time:0.069780 |IO Time:0.000000
rank:60 |send count:161 | recv count: 160 |total Time:0.363321 |compute Time:0.000024 |commuTime:0.219688 |Sync Time:0.007513 |IO Time:0.000000
rank:37 |send count:171 | recv count: 170 |total Time:0.363863 |compute Time:0.000021 |commuTime:0.245276 |Sync Time:0.056596 |IO Time:0.000000
rank:77 |send count:211 | recv count: 210 |total Time:0.364839 |compute Time:0.000026 |commuTime:0.152581 |Sync Time:0.007308 |IO Time:0.000000
rank:70 |send count:211 | recv count: 210 |total Time:0.365364 |compute Time:0.000021 |commuTime:0.181678 |Sync Time:0.009345 |IO Time:0.000000
rank:84 |send count:261 | recv count: 260 |total Time:0.366420 |compute Time:0.000026 |commuTime:0.108299 |Sync Time:0.009574 |IO Time:0.000000
rank:55 |send count:191 | recv count: 190 |total Time:0.366875 |compute Time:0.000016 |commuTime:0.225411 |Sync Time:0.016156 |IO Time:0.000000
rank:39 |send count:271 | recv count: 270 |total Time:0.367900 |compute Time:0.000024 |commuTime:0.282312 |Sync Time:0.008164 |IO Time:0.000000
rank:87 |send count:241 | recv count: 240 |total Time:0.368329 |compute Time:0.000021 |commuTime:0.082720 |Sync Time:0.017157 |IO Time:0.000000
rank:68 |send count:271 | recv count: 270 |total Time:0.369079 |compute Time:0.000022 |commuTime:0.181286 |Sync Time:0.013475 |IO Time:0.000000
rank:74 |send count:241 | recv count: 240 |total Time:0.369550 |compute Time:0.000021 |commuTime:0.172755 |Sync Time:0.011193 |IO Time:0.000000
rank:88 |send count:171 | recv count: 170 |total Time:0.370907 |compute Time:0.000023 |commuTime:0.067533 |Sync Time:0.034593 |IO Time:0.000000
rank:73 |send count:161 | recv count: 160 |total Time:0.371364 |compute Time:0.000020 |commuTime:0.174217 |Sync Time:0.011245 |IO Time:0.000000
rank:15 |send count:201 | recv count: 200 |total Time:0.371936 |compute Time:0.000019 |commuTime:0.319775 |Sync Time:0.032600 |IO Time:0.000000
rank:45 |send count:241 | recv count: 240 |total Time:0.372690 |compute Time:0.000029 |commuTime:0.275733 |Sync Time:0.016065 |IO Time:0.000000
rank:54 |send count:201 | recv count: 200 |total Time:0.373912 |compute Time:0.000019 |commuTime:0.247212 |Sync Time:0.013636 |IO Time:0.000000
rank:27 |send count:211 | recv count: 210 |total Time:0.374357 |compute Time:0.000015 |commuTime:0.312162 |Sync Time:0.017166 |IO Time:0.000000
rank:6 |send count:191 | recv count: 190 |total Time:0.375111 |compute Time:0.000021 |commuTime:0.356541 |Sync Time:0.015292 |IO Time:0.000000
rank:86 |send count:181 | recv count: 180 |total Time:0.376094 |compute Time:0.000019 |commuTime:0.075537 |Sync Time:0.052057 |IO Time:0.000000
rank:95 |send count:201 | recv count: 200 |total Time:0.376795 |compute Time:0.000020 |commuTime:0.037704 |Sync Time:0.031620 |IO Time:0.000000
rank:75 |send count:221 | recv count: 220 |total Time:0.377047 |compute Time:0.000016 |commuTime:0.160861 |Sync Time:0.011784 |IO Time:0.000000
rank:85 |send count:231 | recv count: 230 |total Time:0.378382 |compute Time:0.000022 |commuTime:0.097143 |Sync Time:0.032686 |IO Time:0.000000
rank:71 |send count:201 | recv count: 200 |total Time:0.378833 |compute Time:0.000019 |commuTime:0.161920 |Sync Time:0.031018 |IO Time:0.000000
rank:62 |send count:171 | recv count: 170 |total Time:0.379800 |compute Time:0.000013 |commuTime:0.229786 |Sync Time:0.013900 |IO Time:0.000000
rank:93 |send count:201 | recv count: 200 |total Time:0.380549 |compute Time:0.000019 |commuTime:0.066222 |Sync Time:0.033219 |IO Time:0.000000
rank:78 |send count:161 | recv count: 160 |total Time:0.381282 |compute Time:0.000014 |commuTime:0.164099 |Sync Time:0.012237 |IO Time:0.000000
rank:58 |send count:171 | recv count: 170 |total Time:0.381823 |compute Time:0.000021 |commuTime:0.238161 |Sync Time:0.018329 |IO Time:0.000000
rank:91 |send count:181 | recv count: 180 |total Time:0.382278 |compute Time:0.000022 |commuTime:0.090651 |Sync Time:0.011072 |IO Time:0.000000
rank:56 |send count:241 | recv count: 240 |total Time:0.383652 |compute Time:0.000029 |commuTime:0.226064 |Sync Time:0.031951 |IO Time:0.000000
rank:57 |send count:231 | recv count: 230 |total Time:0.384394 |compute Time:0.000023 |commuTime:0.226539 |Sync Time:0.032212 |IO Time:0.000000
rank:89 |send count:211 | recv count: 210 |total Time:0.384815 |compute Time:0.000019 |commuTime:0.099806 |Sync Time:0.016530 |IO Time:0.000000
rank:13 |send count:201 | recv count: 200 |total Time:0.385392 |compute Time:0.000022 |commuTime:0.365455 |Sync Time:0.009576 |IO Time:0.000000
rank:46 |send count:171 | recv count: 170 |total Time:0.386146 |compute Time:0.000023 |commuTime:0.299161 |Sync Time:0.006121 |IO Time:0.000000
rank:76 |send count:251 | recv count: 250 |total Time:0.387307 |compute Time:0.000029 |commuTime:0.125169 |Sync Time:0.057194 |IO Time:0.000000
rank:92 |send count:161 | recv count: 160 |total Time:0.388076 |compute Time:0.000010 |commuTime:0.074194 |Sync Time:0.032799 |IO Time:0.000000
rank:44 |send count:211 | recv count: 210 |total Time:0.388458 |compute Time:0.000017 |commuTime:0.300868 |Sync Time:0.006732 |IO Time:0.000000
rank:94 |send count:191 | recv count: 190 |total Time:0.389585 |compute Time:0.000017 |commuTime:0.095516 |Sync Time:0.012959 |IO Time:0.000000
rank:0 |send count:130 | recv count: 229 |total Time:0.433294 |compute Time:0.000020 |commuTime:0.190012 |Sync Time:0.028392 |IO Time:0.044921

real	0m1.596s
user	0m7.073s
sys	0m3.193s
