rank:1 |send count:211 | recv count: 210 |total Time:0.448030 |compute Time:0.000018 |commuTime:0.431108 |Sync Time:0.010331 |IO Time:0.000000
rank:4 |send count:231 | recv count: 230 |total Time:0.447725 |compute Time:0.000039 |commuTime:0.395877 |Sync Time:0.042756 |IO Time:0.000000
rank:5 |send count:221 | recv count: 220 |total Time:0.448016 |compute Time:0.000018 |commuTime:0.408964 |Sync Time:0.026988 |IO Time:0.000000
rank:8 |send count:231 | recv count: 230 |total Time:0.447737 |compute Time:0.000024 |commuTime:0.400290 |Sync Time:0.026760 |IO Time:0.000000
rank:9 |send count:161 | recv count: 160 |total Time:0.448063 |compute Time:0.000015 |commuTime:0.355835 |Sync Time:0.064280 |IO Time:0.000000
rank:12 |send count:171 | recv count: 170 |total Time:0.448333 |compute Time:0.000026 |commuTime:0.335948 |Sync Time:0.074697 |IO Time:0.000000
rank:13 |send count:201 | recv count: 200 |total Time:0.448345 |compute Time:0.000012 |commuTime:0.387949 |Sync Time:0.016753 |IO Time:0.000000
rank:16 |send count:231 | recv count: 230 |total Time:0.448050 |compute Time:0.000025 |commuTime:0.337141 |Sync Time:0.057849 |IO Time:0.000000
rank:17 |send count:191 | recv count: 190 |total Time:0.448373 |compute Time:0.000018 |commuTime:0.340279 |Sync Time:0.046024 |IO Time:0.000000
rank:20 |send count:181 | recv count: 180 |total Time:0.448059 |compute Time:0.000016 |commuTime:0.322568 |Sync Time:0.058727 |IO Time:0.000000
rank:21 |send count:111 | recv count: 110 |total Time:0.448583 |compute Time:0.000020 |commuTime:0.347614 |Sync Time:0.029919 |IO Time:0.000000
rank:24 |send count:141 | recv count: 140 |total Time:0.448594 |compute Time:0.000018 |commuTime:0.324577 |Sync Time:0.045687 |IO Time:0.000000
rank:25 |send count:261 | recv count: 260 |total Time:0.448620 |compute Time:0.000021 |commuTime:0.313854 |Sync Time:0.045957 |IO Time:0.000000
rank:28 |send count:171 | recv count: 170 |total Time:0.448926 |compute Time:0.000016 |commuTime:0.326914 |Sync Time:0.025570 |IO Time:0.000000
rank:29 |send count:191 | recv count: 190 |total Time:0.448937 |compute Time:0.000018 |commuTime:0.288327 |Sync Time:0.059186 |IO Time:0.000000
rank:2 |send count:171 | recv count: 170 |total Time:0.445664 |compute Time:0.000028 |commuTime:0.419668 |Sync Time:0.021743 |IO Time:0.000000
rank:32 |send count:191 | recv count: 190 |total Time:0.448619 |compute Time:0.000014 |commuTime:0.289634 |Sync Time:0.047244 |IO Time:0.000000
rank:14 |send count:161 | recv count: 160 |total Time:0.446582 |compute Time:0.000018 |commuTime:0.381767 |Sync Time:0.022913 |IO Time:0.000000
rank:33 |send count:151 | recv count: 150 |total Time:0.448643 |compute Time:0.000015 |commuTime:0.282004 |Sync Time:0.046849 |IO Time:0.000000
rank:36 |send count:241 | recv count: 240 |total Time:0.448024 |compute Time:0.000020 |commuTime:0.248939 |Sync Time:0.075838 |IO Time:0.000000
rank:37 |send count:171 | recv count: 170 |total Time:0.448311 |compute Time:0.000015 |commuTime:0.251285 |Sync Time:0.066296 |IO Time:0.000000
rank:40 |send count:201 | recv count: 200 |total Time:0.448938 |compute Time:0.000016 |commuTime:0.245892 |Sync Time:0.059303 |IO Time:0.000000
rank:41 |send count:211 | recv count: 210 |total Time:0.448955 |compute Time:0.000014 |commuTime:0.213747 |Sync Time:0.082961 |IO Time:0.000000
rank:44 |send count:211 | recv count: 210 |total Time:0.448962 |compute Time:0.000019 |commuTime:0.263340 |Sync Time:0.030703 |IO Time:0.000000
rank:45 |send count:241 | recv count: 240 |total Time:0.449188 |compute Time:0.000023 |commuTime:0.266451 |Sync Time:0.017156 |IO Time:0.000000
rank:48 |send count:171 | recv count: 170 |total Time:0.449174 |compute Time:0.000016 |commuTime:0.228304 |Sync Time:0.047531 |IO Time:0.000000
rank:49 |send count:151 | recv count: 0 |total Time:0.449191 |compute Time:0.000009 |commuTime:0.007948 |Sync Time:0.254721 |IO Time:0.000000
rank:52 |send count:221 | recv count: 220 |total Time:0.448581 |compute Time:0.000019 |commuTime:0.206809 |Sync Time:0.047508 |IO Time:0.000000
rank:53 |send count:211 | recv count: 210 |total Time:0.448888 |compute Time:0.000019 |commuTime:0.161562 |Sync Time:0.083990 |IO Time:0.000000
rank:56 |send count:241 | recv count: 240 |total Time:0.449197 |compute Time:0.000018 |commuTime:0.190188 |Sync Time:0.047979 |IO Time:0.000000
rank:57 |send count:231 | recv count: 230 |total Time:0.449209 |compute Time:0.000017 |commuTime:0.181551 |Sync Time:0.048096 |IO Time:0.000000
rank:60 |send count:161 | recv count: 160 |total Time:0.449194 |compute Time:0.000018 |commuTime:0.192737 |Sync Time:0.032240 |IO Time:0.000000
rank:61 |send count:181 | recv count: 180 |total Time:0.449218 |compute Time:0.000013 |commuTime:0.168705 |Sync Time:0.048419 |IO Time:0.000000
rank:64 |send count:171 | recv count: 170 |total Time:0.448295 |compute Time:0.000021 |commuTime:0.190245 |Sync Time:0.018479 |IO Time:0.000000
rank:65 |send count:221 | recv count: 220 |total Time:0.448609 |compute Time:0.000025 |commuTime:0.183302 |Sync Time:0.017805 |IO Time:0.000000
rank:68 |send count:271 | recv count: 270 |total Time:0.448308 |compute Time:0.000027 |commuTime:0.172603 |Sync Time:0.017017 |IO Time:0.000000
rank:69 |send count:221 | recv count: 220 |total Time:0.448733 |compute Time:0.000021 |commuTime:0.128805 |Sync Time:0.048492 |IO Time:0.000000
rank:72 |send count:241 | recv count: 240 |total Time:0.448375 |compute Time:0.000021 |commuTime:0.124216 |Sync Time:0.047997 |IO Time:0.000000
rank:73 |send count:161 | recv count: 160 |total Time:0.447272 |compute Time:0.000014 |commuTime:0.134357 |Sync Time:0.032096 |IO Time:0.000000
rank:76 |send count:251 | recv count: 250 |total Time:0.449063 |compute Time:0.000021 |commuTime:0.089762 |Sync Time:0.066796 |IO Time:0.000000
rank:77 |send count:211 | recv count: 210 |total Time:0.447288 |compute Time:0.000021 |commuTime:0.113120 |Sync Time:0.032551 |IO Time:0.000000
rank:80 |send count:231 | recv count: 230 |total Time:0.448768 |compute Time:0.000024 |commuTime:0.113989 |Sync Time:0.017573 |IO Time:0.000000
rank:81 |send count:221 | recv count: 220 |total Time:0.447290 |compute Time:0.000021 |commuTime:0.061138 |Sync Time:0.061982 |IO Time:0.000000
rank:84 |send count:261 | recv count: 260 |total Time:0.448773 |compute Time:0.000024 |commuTime:0.080448 |Sync Time:0.032386 |IO Time:0.000000
rank:85 |send count:231 | recv count: 230 |total Time:0.447018 |compute Time:0.000015 |commuTime:0.040583 |Sync Time:0.061348 |IO Time:0.000000
rank:88 |send count:171 | recv count: 170 |total Time:0.449091 |compute Time:0.000019 |commuTime:0.026108 |Sync Time:0.061800 |IO Time:0.000000
rank:89 |send count:211 | recv count: 210 |total Time:0.447315 |compute Time:0.000017 |commuTime:0.047833 |Sync Time:0.033378 |IO Time:0.000000
rank:92 |send count:161 | recv count: 160 |total Time:0.449096 |compute Time:0.000012 |commuTime:0.020824 |Sync Time:0.049947 |IO Time:0.000000
rank:93 |send count:201 | recv count: 200 |total Time:0.447469 |compute Time:0.000022 |commuTime:0.014563 |Sync Time:0.049751 |IO Time:0.000000
rank:96 |send count:231 | recv count: 230 |total Time:0.448280 |compute Time:0.000018 |commuTime:0.019330 |Sync Time:0.033683 |IO Time:0.000000
rank:97 |send count:231 | recv count: 230 |total Time:0.447169 |compute Time:0.000019 |commuTime:0.003609 |Sync Time:0.033575 |IO Time:0.000000
rank:38 |send count:271 | recv count: 270 |total Time:0.446774 |compute Time:0.000026 |commuTime:0.294900 |Sync Time:0.023170 |IO Time:0.000000
rank:42 |send count:191 | recv count: 190 |total Time:0.446479 |compute Time:0.000017 |commuTime:0.273630 |Sync Time:0.023576 |IO Time:0.000000
rank:47 |send count:201 | recv count: 200 |total Time:0.446807 |compute Time:0.000019 |commuTime:0.208806 |Sync Time:0.067328 |IO Time:0.000000
rank:59 |send count:171 | recv count: 170 |total Time:0.447345 |compute Time:0.000016 |commuTime:0.200055 |Sync Time:0.025701 |IO Time:0.000000
rank:63 |send count:221 | recv count: 220 |total Time:0.446746 |compute Time:0.000020 |commuTime:0.184916 |Sync Time:0.024588 |IO Time:0.000000
rank:66 |send count:211 | recv count: 210 |total Time:0.447610 |compute Time:0.000024 |commuTime:0.176799 |Sync Time:0.025075 |IO Time:0.000000
rank:79 |send count:261 | recv count: 260 |total Time:0.448481 |compute Time:0.000018 |commuTime:0.090715 |Sync Time:0.042043 |IO Time:0.000000
rank:3 |send count:231 | recv count: 230 |total Time:0.455997 |compute Time:0.000023 |commuTime:0.427463 |Sync Time:0.021499 |IO Time:0.000000
rank:7 |send count:251 | recv count: 250 |total Time:0.460617 |compute Time:0.000026 |commuTime:0.407795 |Sync Time:0.037877 |IO Time:0.000000
rank:18 |send count:151 | recv count: 150 |total Time:0.463391 |compute Time:0.000019 |commuTime:0.352954 |Sync Time:0.050653 |IO Time:0.000000
rank:22 |send count:81 | recv count: 80 |total Time:0.464097 |compute Time:0.000016 |commuTime:0.321156 |Sync Time:0.074536 |IO Time:0.000000
rank:23 |send count:221 | recv count: 220 |total Time:0.464089 |compute Time:0.000032 |commuTime:0.313721 |Sync Time:0.074684 |IO Time:0.000000
rank:15 |send count:201 | recv count: 200 |total Time:0.466017 |compute Time:0.000025 |commuTime:0.375985 |Sync Time:0.038443 |IO Time:0.000000
rank:10 |send count:181 | recv count: 180 |total Time:0.467059 |compute Time:0.000013 |commuTime:0.418667 |Sync Time:0.022214 |IO Time:0.000000
rank:11 |send count:181 | recv count: 180 |total Time:0.468364 |compute Time:0.000024 |commuTime:0.398118 |Sync Time:0.038257 |IO Time:0.000000
rank:31 |send count:211 | recv count: 210 |total Time:0.469669 |compute Time:0.000021 |commuTime:0.320563 |Sync Time:0.039415 |IO Time:0.000000
rank:27 |send count:211 | recv count: 210 |total Time:0.470683 |compute Time:0.000014 |commuTime:0.357594 |Sync Time:0.019259 |IO Time:0.000000
rank:46 |send count:171 | recv count: 170 |total Time:0.471999 |compute Time:0.000015 |commuTime:0.289911 |Sync Time:0.019193 |IO Time:0.000000
rank:34 |send count:151 | recv count: 150 |total Time:0.473045 |compute Time:0.000013 |commuTime:0.315624 |Sync Time:0.040293 |IO Time:0.000000
rank:55 |send count:191 | recv count: 190 |total Time:0.474382 |compute Time:0.000016 |commuTime:0.246196 |Sync Time:0.020128 |IO Time:0.000000
rank:39 |send count:271 | recv count: 270 |total Time:0.476087 |compute Time:0.000022 |commuTime:0.311727 |Sync Time:0.023276 |IO Time:0.000000
rank:54 |send count:201 | recv count: 200 |total Time:0.477100 |compute Time:0.000022 |commuTime:0.251349 |Sync Time:0.025083 |IO Time:0.000000
rank:26 |send count:181 | recv count: 180 |total Time:0.478693 |compute Time:0.000025 |commuTime:0.369951 |Sync Time:0.022287 |IO Time:0.000000
