rank:1 |send count:13 | recv count: 13 |total Time:2.225964 |compute Time:0.000009 |commuTime:2.216293|IO Time:0.000000
rank:3 |send count:15 | recv count: 16 |total Time:2.224156 |compute Time:0.000012 |commuTime:2.201259|IO Time:0.000000
rank:2 |send count:8 | recv count: 8 |total Time:2.224217 |compute Time:0.000008 |commuTime:2.216357|IO Time:0.000000
rank:8 |send count:13 | recv count: 14 |total Time:2.255793 |compute Time:0.000013 |commuTime:2.215721|IO Time:0.000000
rank:9 |send count:8 | recv count: 8 |total Time:2.255701 |compute Time:0.000008 |commuTime:2.215528|IO Time:0.000000
rank:10 |send count:8 | recv count: 8 |total Time:2.256267 |compute Time:0.000012 |commuTime:2.215738|IO Time:0.000000
rank:11 |send count:19 | recv count: 22 |total Time:2.256312 |compute Time:0.000015 |commuTime:2.201186|IO Time:0.000000
rank:16 |send count:17 | recv count: 17 |total Time:2.279757 |compute Time:0.000014 |commuTime:2.212482|IO Time:0.000000
rank:17 |send count:23 | recv count: 23 |total Time:2.280030 |compute Time:0.000019 |commuTime:2.212462|IO Time:0.000000
rank:18 |send count:19 | recv count: 20 |total Time:2.283666 |compute Time:0.000015 |commuTime:2.212499|IO Time:0.000000
rank:19 |send count:19 | recv count: 19 |total Time:2.283693 |compute Time:0.000013 |commuTime:2.198529|IO Time:0.000000
rank:26 |send count:4 | recv count: 4 |total Time:2.307036 |compute Time:0.000010 |commuTime:2.211524|IO Time:0.000000
rank:25 |send count:5 | recv count: 8 |total Time:2.307349 |compute Time:0.000013 |commuTime:2.211732|IO Time:0.000000
rank:27 |send count:13 | recv count: 13 |total Time:2.307389 |compute Time:0.000010 |commuTime:2.197316|IO Time:0.000000
rank:24 |send count:15 | recv count: 15 |total Time:2.307120 |compute Time:0.000014 |commuTime:2.212195|IO Time:0.000000
rank:32 |send count:8 | recv count: 8 |total Time:2.338241 |compute Time:0.000011 |commuTime:2.209779|IO Time:0.000000
rank:34 |send count:5 | recv count: 5 |total Time:2.338317 |compute Time:0.000012 |commuTime:2.209755|IO Time:0.000000
