rank:2 |send count:6 | recv count: 6 |total Time:0.623922 |compute Time:0.000011 |commuTime:0.618878|IO Time:0.000000
rank:4 |send count:5 | recv count: 5 |total Time:0.623611 |compute Time:0.000010 |commuTime:0.618877|IO Time:0.000000
rank:7 |send count:7 | recv count: 7 |total Time:0.622480 |compute Time:0.000015 |commuTime:0.618797|IO Time:0.000000
rank:10 |send count:5 | recv count: 5 |total Time:0.622433 |compute Time:0.000009 |commuTime:0.618761|IO Time:0.000000
rank:11 |send count:23 | recv count: 24 |total Time:0.622484 |compute Time:0.000012 |commuTime:0.609675|IO Time:0.000000
rank:1 |send count:11 | recv count: 11 |total Time:0.622976 |compute Time:0.000010 |commuTime:0.619048|IO Time:0.000000
rank:3 |send count:17 | recv count: 18 |total Time:0.624089 |compute Time:0.000013 |commuTime:0.618998|IO Time:0.000000
rank:5 |send count:24 | recv count: 17 |total Time:0.623827 |compute Time:0.000019 |commuTime:0.618953|IO Time:0.000000
rank:6 |send count:4 | recv count: 4 |total Time:0.622445 |compute Time:0.000012 |commuTime:0.618883|IO Time:0.000000
rank:8 |send count:11 | recv count: 12 |total Time:0.623079 |compute Time:0.000011 |commuTime:0.618817|IO Time:0.000000
rank:9 |send count:5 | recv count: 5 |total Time:0.623184 |compute Time:0.000012 |commuTime:0.618844|IO Time:0.000000
rank:45 |send count:5 | recv count: 5 |total Time:0.725786 |compute Time:0.000009 |commuTime:0.692488|IO Time:0.000000
rank:37 |send count:15 | recv count: 15 |total Time:0.725515 |compute Time:0.000015 |commuTime:0.692605|IO Time:0.000000
rank:39 |send count:18 | recv count: 15 |total Time:0.726127 |compute Time:0.000015 |commuTime:0.692655|IO Time:0.000000
rank:40 |send count:13 | recv count: 13 |total Time:0.725390 |compute Time:0.000010 |commuTime:0.692592|IO Time:0.000000
rank:41 |send count:5 | recv count: 5 |total Time:0.725525 |compute Time:0.000013 |commuTime:0.692597|IO Time:0.000000
