rank:1 |send count:13 | recv count: 13 |total Time:1.008566 |compute Time:0.000017 |commuTime:1.001918|IO Time:0.000000
rank:2 |send count:8 | recv count: 8 |total Time:1.002705 |compute Time:0.000010 |commuTime:1.001887|IO Time:0.000000
rank:3 |send count:11 | recv count: 8 |total Time:1.002788 |compute Time:0.000010 |commuTime:0.994593|IO Time:0.000000
rank:16 |send count:17 | recv count: 17 |total Time:1.044952 |compute Time:0.000013 |commuTime:1.010988|IO Time:0.000000
rank:17 |send count:11 | recv count: 11 |total Time:1.045310 |compute Time:0.000019 |commuTime:1.010989|IO Time:0.000000
rank:18 |send count:19 | recv count: 18 |total Time:1.040086 |compute Time:0.000016 |commuTime:1.011001|IO Time:0.000000
rank:19 |send count:23 | recv count: 21 |total Time:1.040217 |compute Time:0.000014 |commuTime:1.004184|IO Time:0.000000
rank:32 |send count:8 | recv count: 8 |total Time:1.081220 |compute Time:0.000013 |commuTime:1.020938|IO Time:0.000000
rank:33 |send count:6 | recv count: 6 |total Time:1.081264 |compute Time:0.000011 |commuTime:1.020863|IO Time:0.000000
rank:34 |send count:5 | recv count: 5 |total Time:1.078397 |compute Time:0.000010 |commuTime:1.020865|IO Time:0.000000
rank:35 |send count:4 | recv count: 4 |total Time:1.078547 |compute Time:0.000008 |commuTime:1.014628|IO Time:0.000000
rank:49 |send count:13 | recv count: 11 |total Time:1.120273 |compute Time:0.000017 |commuTime:1.032325|IO Time:0.000000
rank:50 |send count:10 | recv count: 12 |total Time:1.116278 |compute Time:0.000013 |commuTime:1.032334|IO Time:0.000000
rank:51 |send count:4 | recv count: 4 |total Time:1.116319 |compute Time:0.000008 |commuTime:1.025381|IO Time:0.000000
rank:48 |send count:21 | recv count: 18 |total Time:1.120394 |compute Time:0.000015 |commuTime:1.032614|IO Time:0.000000
rank:64 |send count:5 | recv count: 5 |total Time:1.159803 |compute Time:0.000014 |commuTime:1.042587|IO Time:0.000000
rank:65 |send count:4 | recv count: 4 |total Time:1.160185 |compute Time:0.000012 |commuTime:1.042633|IO Time:0.000000
rank:66 |send count:6 | recv count: 6 |total Time:1.154945 |compute Time:0.000014 |commuTime:1.042622|IO Time:0.000000
rank:67 |send count:8 | recv count: 8 |total Time:1.155002 |compute Time:0.000012 |commuTime:1.035437|IO Time:0.000000
rank:80 |send count:43 | recv count: 39 |total Time:1.199156 |compute Time:0.000021 |commuTime:1.053292|IO Time:0.000000
rank:81 |send count:4 | recv count: 4 |total Time:1.199197 |compute Time:0.000014 |commuTime:1.053256|IO Time:0.000000
rank:82 |send count:7 | recv count: 7 |total Time:1.194573 |compute Time:0.000011 |commuTime:1.053280|IO Time:0.000000
rank:83 |send count:23 | recv count: 25 |total Time:1.194624 |compute Time:0.000013 |commuTime:1.046792|IO Time:0.000000
rank:97 |send count:13 | recv count: 13 |total Time:1.235578 |compute Time:0.000014 |commuTime:1.054840|IO Time:0.000000
rank:98 |send count:13 | recv count: 12 |total Time:1.233987 |compute Time:0.000016 |commuTime:1.054869|IO Time:0.000000
rank:99 |send count:4 | recv count: 4 |total Time:1.234023 |compute Time:0.000007 |commuTime:1.047887|IO Time:0.000000
rank:96 |send count:11 | recv count: 11 |total Time:1.235628 |compute Time:0.000015 |commuTime:1.055100|IO Time:0.000000
rank:112 |send count:8 | recv count: 8 |total Time:1.273658 |compute Time:0.000014 |commuTime:1.062959|IO Time:0.000000
rank:113 |send count:7 | recv count: 7 |total Time:1.274026 |compute Time:0.000013 |commuTime:1.062962|IO Time:0.000000
rank:114 |send count:6 | recv count: 6 |total Time:1.269986 |compute Time:0.000016 |commuTime:1.062969|IO Time:0.000000
rank:115 |send count:28 | recv count: 28 |total Time:1.270071 |compute Time:0.000009 |commuTime:1.055738|IO Time:0.000000
rank:128 |send count:5 | recv count: 5 |total Time:1.313280 |compute Time:0.000015 |commuTime:1.072628|IO Time:0.000000
rank:129 |send count:5 | recv count: 5 |total Time:1.313244 |compute Time:0.000016 |commuTime:1.072553|IO Time:0.000000
rank:130 |send count:7 | recv count: 7 |total Time:1.309266 |compute Time:0.000012 |commuTime:1.072589|IO Time:0.000000
rank:131 |send count:6 | recv count: 6 |total Time:1.309353 |compute Time:0.000010 |commuTime:1.066374|IO Time:0.000000
rank:145 |send count:23 | recv count: 20 |total Time:1.350651 |compute Time:0.000016 |commuTime:1.084110|IO Time:0.000000
