rank:8 |send count:13 | recv count: 14 |total Time:20.260197 |compute Time:0.000060 |commuTime:20.170639|IO Time:0.000000
rank:18 |send count:19 | recv count: 18 |total Time:20.261941 |compute Time:0.000042 |commuTime:20.129615|IO Time:0.000000
rank:23 |send count:13 | recv count: 13 |total Time:20.271002 |compute Time:0.000021 |commuTime:20.124436|IO Time:0.000000
rank:31 |send count:11 | recv count: 11 |total Time:20.270263 |compute Time:0.000021 |commuTime:20.090313|IO Time:0.000000
rank:37 |send count:21 | recv count: 21 |total Time:20.264161 |compute Time:0.000020 |commuTime:20.082507|IO Time:0.000000
rank:62 |send count:9 | recv count: 9 |total Time:20.271908 |compute Time:0.000025 |commuTime:20.025748|IO Time:0.000000
rank:63 |send count:9 | recv count: 9 |total Time:20.272740 |compute Time:0.000024 |commuTime:20.025034|IO Time:0.000000
rank:64 |send count:8 | recv count: 8 |total Time:20.260715 |compute Time:0.000018 |commuTime:20.023291|IO Time:0.000000
rank:68 |send count:10 | recv count: 10 |total Time:20.260618 |compute Time:0.000020 |commuTime:20.016606|IO Time:0.000000
rank:77 |send count:6 | recv count: 6 |total Time:20.259701 |compute Time:0.000018 |commuTime:20.005175|IO Time:0.000000
rank:82 |send count:9 | recv count: 9 |total Time:20.262080 |compute Time:0.000023 |commuTime:19.999009|IO Time:0.000000
rank:83 |send count:33 | recv count: 32 |total Time:20.262222 |compute Time:0.000034 |commuTime:19.997192|IO Time:0.000000
rank:86 |send count:8 | recv count: 8 |total Time:20.267172 |compute Time:0.000020 |commuTime:19.993516|IO Time:0.000000
rank:106 |send count:13 | recv count: 13 |total Time:20.262625 |compute Time:0.000026 |commuTime:19.966969|IO Time:0.000000
rank:112 |send count:7 | recv count: 7 |total Time:20.262050 |compute Time:0.000023 |commuTime:19.959170|IO Time:0.000000
rank:141 |send count:6 | recv count: 6 |total Time:20.263677 |compute Time:0.000024 |commuTime:19.927672|IO Time:0.000000
rank:167 |send count:15 | recv count: 16 |total Time:20.264506 |compute Time:0.000023 |commuTime:19.896401|IO Time:0.000000
rank:186 |send count:15 | recv count: 15 |total Time:20.263939 |compute Time:0.000024 |commuTime:19.872835|IO Time:0.000000
rank:213 |send count:5 | recv count: 5 |total Time:20.264201 |compute Time:0.000020 |commuTime:19.842537|IO Time:0.000000
rank:279 |send count:10 | recv count: 10 |total Time:20.271424 |compute Time:0.000030 |commuTime:19.757987|IO Time:0.000000
rank:303 |send count:23 | recv count: 21 |total Time:20.272683 |compute Time:0.000031 |commuTime:19.728548|IO Time:0.000000
rank:313 |send count:9 | recv count: 9 |total Time:20.268437 |compute Time:0.000023 |commuTime:19.715732|IO Time:0.000000
rank:317 |send count:45 | recv count: 47 |total Time:20.266501 |compute Time:0.000021 |commuTime:19.711139|IO Time:0.000000
rank:26 |send count:4 | recv count: 4 |total Time:20.262419 |compute Time:0.000020 |commuTime:20.095410|IO Time:0.000000
rank:27 |send count:13 | recv count: 13 |total Time:20.264722 |compute Time:0.000022 |commuTime:20.094157|IO Time:0.000000
rank:49 |send count:11 | recv count: 12 |total Time:20.268241 |compute Time:0.000024 |commuTime:20.043036|IO Time:0.000000
rank:53 |send count:7 | recv count: 7 |total Time:20.269382 |compute Time:0.000020 |commuTime:20.035992|IO Time:0.000000
rank:57 |send count:9 | recv count: 9 |total Time:20.265305 |compute Time:0.000020 |commuTime:20.030729|IO Time:0.000000
rank:66 |send count:9 | recv count: 9 |total Time:20.261957 |compute Time:0.000023 |commuTime:20.019549|IO Time:0.000000
rank:74 |send count:8 | recv count: 8 |total Time:20.262652 |compute Time:0.000020 |commuTime:20.009600|IO Time:0.000000
rank:87 |send count:9 | recv count: 8 |total Time:20.269538 |compute Time:0.000020 |commuTime:19.991706|IO Time:0.000000
rank:88 |send count:13 | recv count: 13 |total Time:20.260904 |compute Time:0.000024 |commuTime:19.989413|IO Time:0.000000
rank:92 |send count:11 | recv count: 11 |total Time:20.260002 |compute Time:0.000019 |commuTime:19.982536|IO Time:0.000000
rank:93 |send count:4 | recv count: 4 |total Time:20.261801 |compute Time:0.000018 |commuTime:19.981790|IO Time:0.000000
rank:94 |send count:15 | recv count: 15 |total Time:20.265510 |compute Time:0.000020 |commuTime:19.981635|IO Time:0.000000
rank:97 |send count:11 | recv count: 11 |total Time:20.264204 |compute Time:0.000020 |commuTime:19.978480|IO Time:0.000000
rank:99 |send count:5 | recv count: 5 |total Time:20.262797 |compute Time:0.000021 |commuTime:19.974265|IO Time:0.000000
rank:110 |send count:7 | recv count: 7 |total Time:20.268466 |compute Time:0.000024 |commuTime:19.962559|IO Time:0.000000
rank:126 |send count:7 | recv count: 7 |total Time:20.270325 |compute Time:0.000027 |commuTime:19.947490|IO Time:0.000000
rank:134 |send count:4 | recv count: 4 |total Time:20.264540 |compute Time:0.000023 |commuTime:19.934214|IO Time:0.000000
rank:143 |send count:18 | recv count: 18 |total Time:20.264700 |compute Time:0.000029 |commuTime:19.924532|IO Time:0.000000
rank:148 |send count:9 | recv count: 9 |total Time:20.268632 |compute Time:0.000024 |commuTime:19.918048|IO Time:0.000000
rank:164 |send count:33 | recv count: 33 |total Time:20.266721 |compute Time:0.000017 |commuTime:19.898619|IO Time:0.000000
rank:169 |send count:23 | recv count: 23 |total Time:20.267730 |compute Time:0.000036 |commuTime:19.895479|IO Time:0.000000
rank:185 |send count:9 | recv count: 9 |total Time:20.266041 |compute Time:0.000022 |commuTime:19.874665|IO Time:0.000000
rank:196 |send count:18 | recv count: 18 |total Time:20.259581 |compute Time:0.000028 |commuTime:19.862614|IO Time:0.000000
rank:202 |send count:19 | recv count: 19 |total Time:20.261129 |compute Time:0.000022 |commuTime:19.856781|IO Time:0.000000
rank:212 |send count:5 | recv count: 5 |total Time:20.261039 |compute Time:0.000021 |commuTime:19.844341|IO Time:0.000000
rank:246 |send count:7 | recv count: 7 |total Time:20.265560 |compute Time:0.000018 |commuTime:19.796538|IO Time:0.000000
rank:250 |send count:24 | recv count: 22 |total Time:20.262434 |compute Time:0.000025 |commuTime:19.794262|IO Time:0.000000
rank:265 |send count:9 | recv count: 9 |total Time:20.262813 |compute Time:0.000019 |commuTime:19.778240|IO Time:0.000000
rank:273 |send count:5 | recv count: 5 |total Time:20.266949 |compute Time:0.000033 |commuTime:19.769776|IO Time:0.000000
