rank:1 |send count:9 | recv count: 9 |total Time:1.107976 |compute Time:0.000014 |commuTime:1.101128|IO Time:0.000000
rank:2 |send count:10 | recv count: 10 |total Time:1.108901 |compute Time:0.000019 |commuTime:1.101130|IO Time:0.000000
rank:3 |send count:7 | recv count: 7 |total Time:1.108971 |compute Time:0.000023 |commuTime:1.101126|IO Time:0.000000
rank:7 |send count:11 | recv count: 8 |total Time:1.117505 |compute Time:0.000016 |commuTime:1.100983|IO Time:0.000000
rank:4 |send count:5 | recv count: 5 |total Time:1.107715 |compute Time:0.000019 |commuTime:1.101216|IO Time:0.000000
rank:5 |send count:24 | recv count: 17 |total Time:1.107829 |compute Time:0.000014 |commuTime:1.101176|IO Time:0.000000
rank:6 |send count:4 | recv count: 4 |total Time:1.117718 |compute Time:0.000015 |commuTime:1.101189|IO Time:0.000000
rank:8 |send count:11 | recv count: 12 |total Time:1.108450 |compute Time:0.000015 |commuTime:1.101284|IO Time:0.000000
rank:9 |send count:5 | recv count: 5 |total Time:1.108459 |compute Time:0.000013 |commuTime:1.101127|IO Time:0.000000
rank:10 |send count:5 | recv count: 5 |total Time:1.106692 |compute Time:0.000018 |commuTime:1.101062|IO Time:0.000000
rank:11 |send count:11 | recv count: 14 |total Time:1.107117 |compute Time:0.000023 |commuTime:1.085364|IO Time:0.000000
rank:28 |send count:5 | recv count: 5 |total Time:1.197841 |compute Time:0.000013 |commuTime:1.155104|IO Time:0.000000
rank:25 |send count:5 | recv count: 5 |total Time:1.196995 |compute Time:0.000016 |commuTime:1.155258|IO Time:0.000000
rank:29 |send count:5 | recv count: 5 |total Time:1.198016 |compute Time:0.000013 |commuTime:1.155165|IO Time:0.000000
rank:31 |send count:7 | recv count: 7 |total Time:1.203494 |compute Time:0.000020 |commuTime:1.155008|IO Time:0.000000
rank:32 |send count:5 | recv count: 5 |total Time:1.200280 |compute Time:0.000015 |commuTime:1.155200|IO Time:0.000000
rank:33 |send count:6 | recv count: 6 |total Time:1.200123 |compute Time:0.000012 |commuTime:1.154970|IO Time:0.000000
rank:34 |send count:5 | recv count: 5 |total Time:1.197535 |compute Time:0.000014 |commuTime:1.155030|IO Time:0.000000
rank:26 |send count:4 | recv count: 4 |total Time:1.196313 |compute Time:0.000014 |commuTime:1.155514|IO Time:0.000000
rank:27 |send count:17 | recv count: 17 |total Time:1.196327 |compute Time:0.000018 |commuTime:1.155439|IO Time:0.000000
rank:30 |send count:5 | recv count: 5 |total Time:1.203612 |compute Time:0.000019 |commuTime:1.155357|IO Time:0.000000
rank:35 |send count:4 | recv count: 4 |total Time:1.197734 |compute Time:0.000010 |commuTime:1.139032|IO Time:0.000000
rank:24 |send count:9 | recv count: 9 |total Time:1.197639 |compute Time:0.000010 |commuTime:1.155968|IO Time:0.000000
rank:51 |send count:4 | recv count: 4 |total Time:1.288174 |compute Time:0.000014 |commuTime:1.209519|IO Time:0.000000
rank:55 |send count:8 | recv count: 8 |total Time:1.292589 |compute Time:0.000018 |commuTime:1.209379|IO Time:0.000000
rank:49 |send count:13 | recv count: 10 |total Time:1.289893 |compute Time:0.000015 |commuTime:1.209716|IO Time:0.000000
rank:50 |send count:10 | recv count: 14 |total Time:1.288188 |compute Time:0.000012 |commuTime:1.209581|IO Time:0.000000
rank:53 |send count:5 | recv count: 5 |total Time:1.287276 |compute Time:0.000013 |commuTime:1.209644|IO Time:0.000000
rank:56 |send count:5 | recv count: 5 |total Time:1.288398 |compute Time:0.000013 |commuTime:1.209489|IO Time:0.000000
rank:57 |send count:7 | recv count: 7 |total Time:1.288474 |compute Time:0.000011 |commuTime:1.209484|IO Time:0.000000
rank:58 |send count:7 | recv count: 6 |total Time:1.283062 |compute Time:0.000014 |commuTime:1.209509|IO Time:0.000000
rank:52 |send count:10 | recv count: 10 |total Time:1.287398 |compute Time:0.000013 |commuTime:1.209823|IO Time:0.000000
rank:54 |send count:15 | recv count: 12 |total Time:1.292890 |compute Time:0.000023 |commuTime:1.209750|IO Time:0.000000
rank:59 |send count:7 | recv count: 7 |total Time:1.283486 |compute Time:0.000013 |commuTime:1.193849|IO Time:0.000000
rank:48 |send count:9 | recv count: 9 |total Time:1.290652 |compute Time:0.000013 |commuTime:1.210577|IO Time:0.000000
rank:75 |send count:6 | recv count: 6 |total Time:1.371840 |compute Time:0.000013 |commuTime:1.260742|IO Time:0.000000
rank:78 |send count:4 | recv count: 4 |total Time:1.372807 |compute Time:0.000018 |commuTime:1.260654|IO Time:0.000000
rank:76 |send count:5 | recv count: 5 |total Time:1.370699 |compute Time:0.000014 |commuTime:1.260895|IO Time:0.000000
rank:77 |send count:5 | recv count: 5 |total Time:1.370671 |compute Time:0.000015 |commuTime:1.260733|IO Time:0.000000
rank:79 |send count:6 | recv count: 6 |total Time:1.372998 |compute Time:0.000013 |commuTime:1.260813|IO Time:0.000000
rank:80 |send count:19 | recv count: 26 |total Time:1.371010 |compute Time:0.000026 |commuTime:1.260873|IO Time:0.000000
rank:81 |send count:4 | recv count: 4 |total Time:1.371760 |compute Time:0.000009 |commuTime:1.260841|IO Time:0.000000
rank:83 |send count:23 | recv count: 22 |total Time:1.373802 |compute Time:0.000017 |commuTime:1.243967|IO Time:0.000000
rank:73 |send count:5 | recv count: 5 |total Time:1.373858 |compute Time:0.000011 |commuTime:1.261184|IO Time:0.000000
rank:74 |send count:9 | recv count: 9 |total Time:1.372114 |compute Time:0.000015 |commuTime:1.261081|IO Time:0.000000
rank:82 |send count:7 | recv count: 7 |total Time:1.373887 |compute Time:0.000012 |commuTime:1.260879|IO Time:0.000000
rank:72 |send count:33 | recv count: 33 |total Time:1.374079 |compute Time:0.000016 |commuTime:1.261512|IO Time:0.000000
rank:97 |send count:7 | recv count: 7 |total Time:1.459543 |compute Time:0.000015 |commuTime:1.312796|IO Time:0.000000
rank:100 |send count:5 | recv count: 5 |total Time:1.454925 |compute Time:0.000015 |commuTime:1.312657|IO Time:0.000000
rank:104 |send count:7 | recv count: 7 |total Time:1.457009 |compute Time:0.000016 |commuTime:1.312430|IO Time:0.000000
rank:105 |send count:6 | recv count: 6 |total Time:1.457571 |compute Time:0.000011 |commuTime:1.312506|IO Time:0.000000
rank:106 |send count:15 | recv count: 15 |total Time:1.456105 |compute Time:0.000012 |commuTime:1.312455|IO Time:0.000000
rank:107 |send count:17 | recv count: 12 |total Time:1.456454 |compute Time:0.000017 |commuTime:1.295957|IO Time:0.000000
rank:98 |send count:9 | recv count: 8 |total Time:1.460299 |compute Time:0.000016 |commuTime:1.312856|IO Time:0.000000
rank:99 |send count:4 | recv count: 4 |total Time:1.460372 |compute Time:0.000014 |commuTime:1.312899|IO Time:0.000000
rank:101 |send count:4 | recv count: 4 |total Time:1.455242 |compute Time:0.000011 |commuTime:1.312838|IO Time:0.000000
rank:102 |send count:9 | recv count: 13 |total Time:1.461842 |compute Time:0.000015 |commuTime:1.312722|IO Time:0.000000
rank:103 |send count:6 | recv count: 6 |total Time:1.462023 |compute Time:0.000013 |commuTime:1.312713|IO Time:0.000000
rank:96 |send count:13 | recv count: 13 |total Time:1.460053 |compute Time:0.000012 |commuTime:1.313414|IO Time:0.000000
