rank:1 |send count:15 | recv count: 15 |total Time:0.444541 |compute Time:0.000010 |commuTime:0.439693|IO Time:0.000000
rank:2 |send count:6 | recv count: 6 |total Time:0.442637 |compute Time:0.000013 |commuTime:0.439656|IO Time:0.000000
rank:3 |send count:7 | recv count: 6 |total Time:0.442767 |compute Time:0.000016 |commuTime:0.439702|IO Time:0.000000
rank:4 |send count:5 | recv count: 5 |total Time:0.444518 |compute Time:0.000010 |commuTime:0.439655|IO Time:0.000000
rank:5 |send count:21 | recv count: 17 |total Time:0.444547 |compute Time:0.000015 |commuTime:0.439654|IO Time:0.000000
rank:6 |send count:4 | recv count: 4 |total Time:0.442927 |compute Time:0.000016 |commuTime:0.439586|IO Time:0.000000
rank:7 |send count:7 | recv count: 7 |total Time:0.442993 |compute Time:0.000010 |commuTime:0.439596|IO Time:0.000000
rank:8 |send count:13 | recv count: 14 |total Time:0.443863 |compute Time:0.000015 |commuTime:0.439565|IO Time:0.000000
rank:9 |send count:5 | recv count: 5 |total Time:0.444222 |compute Time:0.000013 |commuTime:0.439597|IO Time:0.000000
rank:10 |send count:5 | recv count: 5 |total Time:0.443545 |compute Time:0.000012 |commuTime:0.439539|IO Time:0.000000
rank:11 |send count:11 | recv count: 16 |total Time:0.443897 |compute Time:0.000008 |commuTime:0.432344|IO Time:0.000000
rank:49 |send count:17 | recv count: 16 |total Time:0.559058 |compute Time:0.000017 |commuTime:0.528332|IO Time:0.000000
rank:50 |send count:10 | recv count: 15 |total Time:0.559248 |compute Time:0.000019 |commuTime:0.528282|IO Time:0.000000
rank:51 |send count:4 | recv count: 4 |total Time:0.559350 |compute Time:0.000013 |commuTime:0.528289|IO Time:0.000000
rank:52 |send count:9 | recv count: 9 |total Time:0.559820 |compute Time:0.000016 |commuTime:0.528201|IO Time:0.000000
rank:53 |send count:5 | recv count: 5 |total Time:0.559925 |compute Time:0.000014 |commuTime:0.528248|IO Time:0.000000
rank:54 |send count:18 | recv count: 14 |total Time:0.559294 |compute Time:0.000020 |commuTime:0.528235|IO Time:0.000000
rank:55 |send count:8 | recv count: 8 |total Time:0.559321 |compute Time:0.000017 |commuTime:0.528248|IO Time:0.000000
rank:56 |send count:5 | recv count: 5 |total Time:0.558999 |compute Time:0.000015 |commuTime:0.528243|IO Time:0.000000
rank:57 |send count:7 | recv count: 7 |total Time:0.559001 |compute Time:0.000014 |commuTime:0.528212|IO Time:0.000000
rank:58 |send count:7 | recv count: 6 |total Time:0.558012 |compute Time:0.000013 |commuTime:0.528153|IO Time:0.000000
rank:59 |send count:7 | recv count: 7 |total Time:0.558060 |compute Time:0.000016 |commuTime:0.520269|IO Time:0.000000
rank:48 |send count:9 | recv count: 10 |total Time:0.559179 |compute Time:0.000011 |commuTime:0.528631|IO Time:0.000000
rank:97 |send count:7 | recv count: 7 |total Time:0.678266 |compute Time:0.000015 |commuTime:0.615214|IO Time:0.000000
rank:98 |send count:9 | recv count: 8 |total Time:0.679711 |compute Time:0.000014 |commuTime:0.615166|IO Time:0.000000
rank:99 |send count:4 | recv count: 4 |total Time:0.679703 |compute Time:0.000017 |commuTime:0.615108|IO Time:0.000000
rank:100 |send count:5 | recv count: 5 |total Time:0.677167 |compute Time:0.000014 |commuTime:0.615089|IO Time:0.000000
rank:101 |send count:4 | recv count: 4 |total Time:0.677186 |compute Time:0.000012 |commuTime:0.615091|IO Time:0.000000
rank:102 |send count:11 | recv count: 10 |total Time:0.679379 |compute Time:0.000016 |commuTime:0.615104|IO Time:0.000000
rank:103 |send count:9 | recv count: 9 |total Time:0.679406 |compute Time:0.000011 |commuTime:0.615102|IO Time:0.000000
rank:104 |send count:7 | recv count: 7 |total Time:0.678199 |compute Time:0.000016 |commuTime:0.615121|IO Time:0.000000
rank:105 |send count:6 | recv count: 6 |total Time:0.678185 |compute Time:0.000010 |commuTime:0.615071|IO Time:0.000000
rank:106 |send count:15 | recv count: 15 |total Time:0.679358 |compute Time:0.000019 |commuTime:0.615024|IO Time:0.000000
rank:107 |send count:19 | recv count: 15 |total Time:0.679653 |compute Time:0.000014 |commuTime:0.607177|IO Time:0.000000
rank:96 |send count:13 | recv count: 13 |total Time:0.678468 |compute Time:0.000013 |commuTime:0.615575|IO Time:0.000000
rank:145 |send count:27 | recv count: 24 |total Time:0.796473 |compute Time:0.000021 |commuTime:0.703180|IO Time:0.000000
rank:146 |send count:5 | recv count: 5 |total Time:0.797014 |compute Time:0.000011 |commuTime:0.703167|IO Time:0.000000
rank:147 |send count:5 | recv count: 5 |total Time:0.797111 |compute Time:0.000012 |commuTime:0.703174|IO Time:0.000000
rank:148 |send count:7 | recv count: 7 |total Time:0.798608 |compute Time:0.000014 |commuTime:0.703168|IO Time:0.000000
rank:149 |send count:9 | recv count: 9 |total Time:0.798605 |compute Time:0.000014 |commuTime:0.703132|IO Time:0.000000
rank:150 |send count:5 | recv count: 5 |total Time:0.797681 |compute Time:0.000017 |commuTime:0.703136|IO Time:0.000000
rank:151 |send count:6 | recv count: 6 |total Time:0.797700 |compute Time:0.000008 |commuTime:0.703135|IO Time:0.000000
rank:152 |send count:5 | recv count: 5 |total Time:0.798285 |compute Time:0.000013 |commuTime:0.703101|IO Time:0.000000
rank:153 |send count:23 | recv count: 23 |total Time:0.798608 |compute Time:0.000015 |commuTime:0.703082|IO Time:0.000000
rank:154 |send count:15 | recv count: 14 |total Time:0.797610 |compute Time:0.000014 |commuTime:0.703019|IO Time:0.000000
rank:155 |send count:9 | recv count: 9 |total Time:0.798250 |compute Time:0.000015 |commuTime:0.695180|IO Time:0.000000
rank:144 |send count:7 | recv count: 7 |total Time:0.796717 |compute Time:0.000009 |commuTime:0.703588|IO Time:0.000000
rank:170 |send count:15 | recv count: 13 |total Time:0.844345 |compute Time:0.000012 |commuTime:0.733969|IO Time:0.000000
rank:200 |send count:8 | recv count: 8 |total Time:0.914572 |compute Time:0.000013 |commuTime:0.787677|IO Time:0.000000
rank:193 |send count:27 | recv count: 26 |total Time:0.914589 |compute Time:0.000018 |commuTime:0.787753|IO Time:0.000000
rank:194 |send count:9 | recv count: 9 |total Time:0.914566 |compute Time:0.000017 |commuTime:0.787747|IO Time:0.000000
rank:195 |send count:4 | recv count: 4 |total Time:0.914644 |compute Time:0.000009 |commuTime:0.787812|IO Time:0.000000
rank:196 |send count:12 | recv count: 15 |total Time:0.914635 |compute Time:0.000017 |commuTime:0.787789|IO Time:0.000000
rank:197 |send count:6 | recv count: 7 |total Time:0.914612 |compute Time:0.000017 |commuTime:0.787733|IO Time:0.000000
rank:198 |send count:5 | recv count: 5 |total Time:0.914609 |compute Time:0.000014 |commuTime:0.787749|IO Time:0.000000
rank:199 |send count:5 | recv count: 5 |total Time:0.914583 |compute Time:0.000013 |commuTime:0.787711|IO Time:0.000000
rank:201 |send count:7 | recv count: 7 |total Time:0.914613 |compute Time:0.000012 |commuTime:0.787691|IO Time:0.000000
rank:202 |send count:19 | recv count: 12 |total Time:0.914258 |compute Time:0.000013 |commuTime:0.787656|IO Time:0.000000
rank:203 |send count:21 | recv count: 16 |total Time:0.914566 |compute Time:0.000012 |commuTime:0.779763|IO Time:0.000000
rank:192 |send count:11 | recv count: 11 |total Time:0.915040 |compute Time:0.000014 |commuTime:0.788232|IO Time:0.000000
rank:226 |send count:5 | recv count: 5 |total Time:0.987556 |compute Time:0.000011 |commuTime:0.845092|IO Time:0.000000
rank:248 |send count:5 | recv count: 5 |total Time:1.028741 |compute Time:0.000013 |commuTime:0.872196|IO Time:0.000000
rank:249 |send count:7 | recv count: 5 |total Time:1.028768 |compute Time:0.009413 |commuTime:0.862789|IO Time:0.000000
