rank:1 |send count:9 | recv count: 9 |total Time:1.790556 |compute Time:0.000007 |commuTime:1.778725|IO Time:0.000000
rank:8 |send count:13 | recv count: 14 |total Time:1.808820 |compute Time:0.000009 |commuTime:1.778525|IO Time:0.000000
rank:9 |send count:5 | recv count: 5 |total Time:1.808976 |compute Time:0.000007 |commuTime:1.771859|IO Time:0.000000
rank:16 |send count:15 | recv count: 15 |total Time:1.829816 |compute Time:0.000007 |commuTime:1.770329|IO Time:0.000000
rank:17 |send count:11 | recv count: 11 |total Time:1.829834 |compute Time:0.000010 |commuTime:1.763291|IO Time:0.000000
rank:24 |send count:11 | recv count: 12 |total Time:1.850209 |compute Time:0.000013 |commuTime:1.764152|IO Time:0.000000
rank:25 |send count:5 | recv count: 5 |total Time:1.850243 |compute Time:0.000007 |commuTime:1.757983|IO Time:0.000000
rank:32 |send count:6 | recv count: 6 |total Time:1.869411 |compute Time:0.000014 |commuTime:1.759201|IO Time:0.000000
rank:33 |send count:6 | recv count: 6 |total Time:1.869431 |compute Time:0.000009 |commuTime:1.753029|IO Time:0.000000
rank:40 |send count:18 | recv count: 18 |total Time:1.888306 |compute Time:0.000013 |commuTime:1.753715|IO Time:0.000000
rank:41 |send count:5 | recv count: 5 |total Time:1.888325 |compute Time:0.000008 |commuTime:1.747471|IO Time:0.000000
rank:49 |send count:11 | recv count: 11 |total Time:1.909517 |compute Time:0.000010 |commuTime:1.740185|IO Time:0.000000
rank:48 |send count:15 | recv count: 14 |total Time:1.909820 |compute Time:0.000010 |commuTime:1.747435|IO Time:0.000000
rank:56 |send count:8 | recv count: 8 |total Time:1.929251 |compute Time:0.000008 |commuTime:1.738304|IO Time:0.000000
rank:57 |send count:7 | recv count: 7 |total Time:1.929286 |compute Time:0.000006 |commuTime:1.731514|IO Time:0.000000
rank:64 |send count:7 | recv count: 7 |total Time:1.948205 |compute Time:0.000006 |commuTime:1.730027|IO Time:0.000000
rank:65 |send count:4 | recv count: 4 |total Time:1.948290 |compute Time:0.000007 |commuTime:1.723249|IO Time:0.000000
rank:72 |send count:18 | recv count: 20 |total Time:1.966386 |compute Time:0.000011 |commuTime:1.723532|IO Time:0.000000
rank:73 |send count:5 | recv count: 5 |total Time:1.966492 |compute Time:0.000009 |commuTime:1.717056|IO Time:0.000000
rank:80 |send count:35 | recv count: 33 |total Time:1.987521 |compute Time:0.000012 |commuTime:1.717038|IO Time:0.000000
rank:81 |send count:4 | recv count: 4 |total Time:1.987515 |compute Time:0.000008 |commuTime:1.710939|IO Time:0.000000
rank:88 |send count:9 | recv count: 9 |total Time:2.007280 |compute Time:0.000012 |commuTime:1.711306|IO Time:0.000000
rank:89 |send count:4 | recv count: 4 |total Time:2.007351 |compute Time:0.000007 |commuTime:1.705281|IO Time:0.000000
rank:97 |send count:9 | recv count: 9 |total Time:2.026558 |compute Time:0.000010 |commuTime:1.698610|IO Time:0.000000
rank:96 |send count:9 | recv count: 9 |total Time:2.026808 |compute Time:0.000012 |commuTime:1.705738|IO Time:0.000000
rank:104 |send count:11 | recv count: 12 |total Time:2.045374 |compute Time:0.000008 |commuTime:1.697287|IO Time:0.000000
rank:105 |send count:9 | recv count: 9 |total Time:2.045458 |compute Time:0.000010 |commuTime:1.690576|IO Time:0.000000
rank:112 |send count:7 | recv count: 7 |total Time:2.066329 |compute Time:0.000007 |commuTime:1.689115|IO Time:0.000000
rank:113 |send count:9 | recv count: 9 |total Time:2.066337 |compute Time:0.000011 |commuTime:1.682155|IO Time:0.000000
