rank:157 |send count:19 | recv count: 19 |total Time:2.885105 |compute Time:0.000014 |commuTime:2.162225|IO Time:0.000000
rank:163 |send count:8 | recv count: 8 |total Time:2.893078 |compute Time:0.000009 |commuTime:2.150015|IO Time:0.000000
rank:162 |send count:11 | recv count: 10 |total Time:2.893143 |compute Time:0.000012 |commuTime:2.159498|IO Time:0.000000
rank:168 |send count:6 | recv count: 6 |total Time:2.921371 |compute Time:0.000014 |commuTime:2.147519|IO Time:0.000000
rank:169 |send count:15 | recv count: 15 |total Time:2.921274 |compute Time:0.000012 |commuTime:2.138221|IO Time:0.000000
rank:170 |send count:19 | recv count: 21 |total Time:2.912605 |compute Time:0.000008 |commuTime:2.138001|IO Time:0.000000
rank:174 |send count:13 | recv count: 14 |total Time:2.924296 |compute Time:0.000013 |commuTime:2.131761|IO Time:0.000000
rank:175 |send count:5 | recv count: 5 |total Time:2.924345 |compute Time:0.000006 |commuTime:2.123175|IO Time:0.000000
rank:181 |send count:9 | recv count: 9 |total Time:2.947991 |compute Time:0.000010 |commuTime:2.112469|IO Time:0.000000
rank:180 |send count:7 | recv count: 7 |total Time:2.948022 |compute Time:0.000014 |commuTime:2.121748|IO Time:0.000000
rank:186 |send count:9 | recv count: 9 |total Time:2.956372 |compute Time:0.000012 |commuTime:2.109185|IO Time:0.000000
rank:187 |send count:9 | recv count: 9 |total Time:2.956417 |compute Time:0.000008 |commuTime:2.100428|IO Time:0.000000
rank:192 |send count:11 | recv count: 11 |total Time:2.980108 |compute Time:0.000014 |commuTime:2.097643|IO Time:0.000000
rank:193 |send count:27 | recv count: 28 |total Time:2.980199 |compute Time:0.000012 |commuTime:2.088959|IO Time:0.000000
rank:198 |send count:6 | recv count: 6 |total Time:2.987159 |compute Time:0.000014 |commuTime:2.086330|IO Time:0.000000
rank:199 |send count:10 | recv count: 10 |total Time:2.987170 |compute Time:0.000009 |commuTime:2.076968|IO Time:0.000000
rank:204 |send count:9 | recv count: 9 |total Time:3.010268 |compute Time:0.000011 |commuTime:2.074778|IO Time:0.000000
rank:205 |send count:4 | recv count: 4 |total Time:3.010588 |compute Time:0.000011 |commuTime:2.065760|IO Time:0.000000
rank:210 |send count:12 | recv count: 12 |total Time:3.017927 |compute Time:0.000013 |commuTime:2.063571|IO Time:0.000000
rank:211 |send count:7 | recv count: 7 |total Time:3.017912 |compute Time:0.000007 |commuTime:2.054983|IO Time:0.000000
rank:217 |send count:5 | recv count: 5 |total Time:3.045799 |compute Time:0.000008 |commuTime:2.043853|IO Time:0.000000
rank:216 |send count:5 | recv count: 5 |total Time:3.046137 |compute Time:0.000013 |commuTime:2.053543|IO Time:0.000000
rank:222 |send count:11 | recv count: 11 |total Time:3.051214 |compute Time:0.000012 |commuTime:2.041198|IO Time:0.000000
rank:223 |send count:7 | recv count: 7 |total Time:3.051335 |compute Time:0.000007 |commuTime:2.032525|IO Time:0.000000
rank:226 |send count:11 | recv count: 9 |total Time:3.058759 |compute Time:0.000015 |commuTime:2.031318|IO Time:0.000000
rank:228 |send count:6 | recv count: 9 |total Time:3.072372 |compute Time:0.000010 |commuTime:2.026040|IO Time:0.000000
rank:229 |send count:15 | recv count: 15 |total Time:3.072388 |compute Time:0.000008 |commuTime:2.017066|IO Time:0.000000
rank:234 |send count:8 | recv count: 9 |total Time:3.082618 |compute Time:0.000012 |commuTime:2.014132|IO Time:0.000000
rank:235 |send count:9 | recv count: 11 |total Time:3.082771 |compute Time:0.000012 |commuTime:2.005075|IO Time:0.000000
rank:240 |send count:4 | recv count: 4 |total Time:3.104599 |compute Time:0.000012 |commuTime:2.002686|IO Time:0.000000
rank:241 |send count:11 | recv count: 12 |total Time:3.104986 |compute Time:0.000011 |commuTime:1.993865|IO Time:0.000000
rank:246 |send count:6 | recv count: 6 |total Time:3.111864 |compute Time:0.000014 |commuTime:1.991019|IO Time:0.000000
rank:247 |send count:5 | recv count: 6 |total Time:3.111784 |compute Time:0.000008 |commuTime:1.982288|IO Time:0.000000
rank:253 |send count:12 | recv count: 14 |total Time:3.138631 |compute Time:0.000013 |commuTime:1.971452|IO Time:0.000000
