rank:2 |send count:5 | recv count: 5 |total Time:1.340562 |compute Time:0.000013 |commuTime:1.338351|IO Time:0.000000
rank:3 |send count:11 | recv count: 8 |total Time:1.340630 |compute Time:0.000011 |commuTime:1.329196|IO Time:0.000000
rank:1 |send count:11 | recv count: 11 |total Time:1.342514 |compute Time:0.000014 |commuTime:1.338455|IO Time:0.000000
rank:12 |send count:4 | recv count: 4 |total Time:1.373034 |compute Time:0.000010 |commuTime:1.343248|IO Time:0.000000
rank:14 |send count:7 | recv count: 7 |total Time:1.374203 |compute Time:0.000017 |commuTime:1.343152|IO Time:0.000000
rank:15 |send count:7 | recv count: 12 |total Time:1.374280 |compute Time:0.000013 |commuTime:1.333745|IO Time:0.000000
rank:13 |send count:8 | recv count: 8 |total Time:1.373430 |compute Time:0.000012 |commuTime:1.343319|IO Time:0.000000
rank:24 |send count:7 | recv count: 8 |total Time:1.405059 |compute Time:0.000014 |commuTime:1.346496|IO Time:0.000000
rank:25 |send count:5 | recv count: 5 |total Time:1.405198 |compute Time:0.000016 |commuTime:1.346539|IO Time:0.000000
rank:26 |send count:4 | recv count: 4 |total Time:1.404510 |compute Time:0.000011 |commuTime:1.346492|IO Time:0.000000
rank:27 |send count:7 | recv count: 7 |total Time:1.404549 |compute Time:0.000008 |commuTime:1.337821|IO Time:0.000000
rank:38 |send count:33 | recv count: 33 |total Time:1.437582 |compute Time:0.000017 |commuTime:1.351856|IO Time:0.000000
rank:39 |send count:9 | recv count: 9 |total Time:1.437739 |compute Time:0.000011 |commuTime:1.342669|IO Time:0.000000
rank:37 |send count:15 | recv count: 15 |total Time:1.436557 |compute Time:0.000014 |commuTime:1.351999|IO Time:0.000000
rank:36 |send count:9 | recv count: 10 |total Time:1.436755 |compute Time:0.000012 |commuTime:1.352351|IO Time:0.000000
rank:48 |send count:9 | recv count: 9 |total Time:1.469595 |compute Time:0.000014 |commuTime:1.356994|IO Time:0.000000
rank:49 |send count:13 | recv count: 11 |total Time:1.469973 |compute Time:0.000015 |commuTime:1.357043|IO Time:0.000000
rank:50 |send count:17 | recv count: 17 |total Time:1.470015 |compute Time:0.000017 |commuTime:1.357040|IO Time:0.000000
rank:51 |send count:4 | recv count: 4 |total Time:1.470039 |compute Time:0.000025 |commuTime:1.347379|IO Time:0.000000
rank:60 |send count:7 | recv count: 7 |total Time:1.501543 |compute Time:0.000012 |commuTime:1.359358|IO Time:0.000000
rank:61 |send count:9 | recv count: 11 |total Time:1.501687 |compute Time:0.000016 |commuTime:1.359411|IO Time:0.000000
rank:62 |send count:7 | recv count: 7 |total Time:1.502883 |compute Time:0.000014 |commuTime:1.359427|IO Time:0.000000
rank:63 |send count:7 | recv count: 7 |total Time:1.502855 |compute Time:0.000008 |commuTime:1.350229|IO Time:0.000000
rank:73 |send count:5 | recv count: 5 |total Time:1.534564 |compute Time:0.000013 |commuTime:1.364519|IO Time:0.000000
rank:75 |send count:7 | recv count: 7 |total Time:1.535175 |compute Time:0.000008 |commuTime:1.355273|IO Time:0.000000
rank:74 |send count:8 | recv count: 8 |total Time:1.535140 |compute Time:0.000014 |commuTime:1.364544|IO Time:0.000000
rank:72 |send count:28 | recv count: 26 |total Time:1.534792 |compute Time:0.000019 |commuTime:1.364879|IO Time:0.000000
rank:84 |send count:5 | recv count: 5 |total Time:1.569298 |compute Time:0.000015 |commuTime:1.368995|IO Time:0.000000
rank:85 |send count:23 | recv count: 16 |total Time:1.569641 |compute Time:0.000016 |commuTime:1.369051|IO Time:0.000000
rank:86 |send count:5 | recv count: 5 |total Time:1.569369 |compute Time:0.000017 |commuTime:1.369014|IO Time:0.000000
rank:87 |send count:9 | recv count: 8 |total Time:1.569345 |compute Time:0.000013 |commuTime:1.359415|IO Time:0.000000
rank:98 |send count:9 | recv count: 7 |total Time:1.601528 |compute Time:0.000014 |commuTime:1.370603|IO Time:0.000000
rank:99 |send count:4 | recv count: 4 |total Time:1.601480 |compute Time:0.000009 |commuTime:1.361642|IO Time:0.000000
rank:96 |send count:11 | recv count: 11 |total Time:1.600940 |compute Time:0.000018 |commuTime:1.370698|IO Time:0.000000
rank:97 |send count:7 | recv count: 7 |total Time:1.601001 |compute Time:0.000009 |commuTime:1.370710|IO Time:0.000000
rank:109 |send count:11 | recv count: 11 |total Time:1.634171 |compute Time:0.000019 |commuTime:1.375729|IO Time:0.000000
rank:110 |send count:5 | recv count: 5 |total Time:1.632792 |compute Time:0.000013 |commuTime:1.375584|IO Time:0.000000
rank:111 |send count:6 | recv count: 7 |total Time:1.632874 |compute Time:0.000009 |commuTime:1.366352|IO Time:0.000000
rank:108 |send count:12 | recv count: 12 |total Time:1.634425 |compute Time:0.000016 |commuTime:1.376054|IO Time:0.000000
rank:120 |send count:5 | recv count: 6 |total Time:1.666494 |compute Time:0.000011 |commuTime:1.381112|IO Time:0.000000
rank:121 |send count:9 | recv count: 11 |total Time:1.666704 |compute Time:0.000010 |commuTime:1.381005|IO Time:0.000000
rank:122 |send count:9 | recv count: 9 |total Time:1.664981 |compute Time:0.000015 |commuTime:1.380992|IO Time:0.000000
rank:123 |send count:7 | recv count: 7 |total Time:1.664992 |compute Time:0.000010 |commuTime:1.371089|IO Time:0.000000
rank:133 |send count:5 | recv count: 5 |total Time:1.699464 |compute Time:0.000015 |commuTime:1.383264|IO Time:0.000000
rank:134 |send count:7 | recv count: 7 |total Time:1.698115 |compute Time:0.000014 |commuTime:1.383150|IO Time:0.000000
rank:135 |send count:5 | recv count: 5 |total Time:1.698254 |compute Time:0.000009 |commuTime:1.374233|IO Time:0.000000
rank:132 |send count:9 | recv count: 9 |total Time:1.699427 |compute Time:0.000014 |commuTime:1.383300|IO Time:0.000000
rank:145 |send count:19 | recv count: 19 |total Time:1.730471 |compute Time:0.000011 |commuTime:1.387947|IO Time:0.000000
rank:146 |send count:7 | recv count: 7 |total Time:1.733122 |compute Time:0.000012 |commuTime:1.387890|IO Time:0.000000
rank:147 |send count:7 | recv count: 7 |total Time:1.733152 |compute Time:0.000008 |commuTime:1.378626|IO Time:0.000000
rank:144 |send count:7 | recv count: 7 |total Time:1.730588 |compute Time:0.000012 |commuTime:1.388225|IO Time:0.000000
rank:156 |send count:5 | recv count: 5 |total Time:1.764220 |compute Time:0.000008 |commuTime:1.392212|IO Time:0.000000
rank:157 |send count:19 | recv count: 19 |total Time:1.764539 |compute Time:0.000012 |commuTime:1.392230|IO Time:0.000000
rank:158 |send count:15 | recv count: 15 |total Time:1.763405 |compute Time:0.000018 |commuTime:1.392264|IO Time:0.000000
rank:159 |send count:5 | recv count: 5 |total Time:1.763392 |compute Time:0.000009 |commuTime:1.382667|IO Time:0.000000
rank:168 |send count:5 | recv count: 5 |total Time:1.795584 |compute Time:0.000015 |commuTime:1.394459|IO Time:0.000000
rank:170 |send count:23 | recv count: 23 |total Time:1.795034 |compute Time:0.000017 |commuTime:1.394465|IO Time:0.000000
rank:171 |send count:11 | recv count: 11 |total Time:1.795038 |compute Time:0.000010 |commuTime:1.385168|IO Time:0.000000
rank:169 |send count:11 | recv count: 11 |total Time:1.795730 |compute Time:0.000013 |commuTime:1.394531|IO Time:0.000000
rank:181 |send count:9 | recv count: 9 |total Time:1.827461 |compute Time:0.000011 |commuTime:1.399410|IO Time:0.000000
rank:182 |send count:5 | recv count: 5 |total Time:1.829599 |compute Time:0.000012 |commuTime:1.399463|IO Time:0.000000
rank:183 |send count:8 | recv count: 8 |total Time:1.829565 |compute Time:0.000008 |commuTime:1.389978|IO Time:0.000000
rank:180 |send count:7 | recv count: 7 |total Time:1.827642 |compute Time:0.000016 |commuTime:1.399755|IO Time:0.000000
rank:194 |send count:15 | recv count: 14 |total Time:1.863491 |compute Time:0.000014 |commuTime:1.403010|IO Time:0.000000
rank:195 |send count:4 | recv count: 4 |total Time:1.863413 |compute Time:0.000007 |commuTime:1.392938|IO Time:0.000000
rank:192 |send count:11 | recv count: 11 |total Time:1.863520 |compute Time:0.000021 |commuTime:1.403090|IO Time:0.000000
rank:193 |send count:31 | recv count: 31 |total Time:1.863744 |compute Time:0.000020 |commuTime:1.403063|IO Time:0.000000
rank:204 |send count:7 | recv count: 7 |total Time:1.894065 |compute Time:0.000014 |commuTime:1.404668|IO Time:0.000000
rank:206 |send count:5 | recv count: 5 |total Time:1.896016 |compute Time:0.000010 |commuTime:1.404694|IO Time:0.000000
rank:207 |send count:4 | recv count: 4 |total Time:1.895913 |compute Time:0.000008 |commuTime:1.395603|IO Time:0.000000
rank:205 |send count:4 | recv count: 4 |total Time:1.894234 |compute Time:0.000023 |commuTime:1.404734|IO Time:0.000000
