rank:3 |send count:11 | recv count: 9 |total Time:20.096053 |compute Time:0.000123 |commuTime:20.078460|IO Time:0.000000
rank:13 |send count:7 | recv count: 7 |total Time:20.093154 |compute Time:0.000055 |commuTime:20.016975|IO Time:0.000000
rank:21 |send count:7 | recv count: 7 |total Time:20.093273 |compute Time:0.000032 |commuTime:19.972359|IO Time:0.000000
rank:30 |send count:7 | recv count: 6 |total Time:20.094051 |compute Time:0.000021 |commuTime:19.930933|IO Time:0.000000
rank:38 |send count:21 | recv count: 21 |total Time:20.093167 |compute Time:0.000032 |commuTime:19.920102|IO Time:0.000000
rank:51 |send count:4 | recv count: 4 |total Time:20.098363 |compute Time:0.000020 |commuTime:19.905779|IO Time:0.000000
rank:53 |send count:7 | recv count: 7 |total Time:20.095029 |compute Time:0.000020 |commuTime:19.876048|IO Time:0.000000
rank:56 |send count:8 | recv count: 8 |total Time:20.093467 |compute Time:0.000021 |commuTime:19.870597|IO Time:0.000000
rank:68 |send count:10 | recv count: 10 |total Time:20.098682 |compute Time:0.000020 |commuTime:19.858844|IO Time:0.000000
rank:94 |send count:15 | recv count: 15 |total Time:20.092321 |compute Time:0.000023 |commuTime:19.694173|IO Time:0.000000
rank:115 |send count:23 | recv count: 23 |total Time:20.101027 |compute Time:0.000026 |commuTime:19.643307|IO Time:0.000000
rank:124 |send count:5 | recv count: 5 |total Time:20.092337 |compute Time:0.000014 |commuTime:19.629358|IO Time:0.000000
rank:139 |send count:11 | recv count: 12 |total Time:20.094925 |compute Time:0.000025 |commuTime:19.587986|IO Time:0.000000
rank:142 |send count:6 | recv count: 6 |total Time:20.091357 |compute Time:0.000023 |commuTime:19.584484|IO Time:0.000000
rank:272 |send count:7 | recv count: 7 |total Time:20.097274 |compute Time:0.000026 |commuTime:19.080148|IO Time:0.000000
rank:275 |send count:6 | recv count: 6 |total Time:20.092596 |compute Time:0.000026 |commuTime:19.077965|IO Time:0.000000
rank:280 |send count:6 | recv count: 6 |total Time:20.098480 |compute Time:0.000019 |commuTime:19.047431|IO Time:0.000000
rank:333 |send count:6 | recv count: 6 |total Time:20.096924 |compute Time:0.000025 |commuTime:18.900796|IO Time:0.000000
rank:10 |send count:6 | recv count: 6 |total Time:20.096396 |compute Time:0.000048 |commuTime:20.046829|IO Time:0.000000
rank:37 |send count:21 | recv count: 21 |total Time:20.093945 |compute Time:0.000032 |commuTime:19.922963|IO Time:0.000000
rank:50 |send count:17 | recv count: 18 |total Time:20.096151 |compute Time:0.000026 |commuTime:19.906998|IO Time:0.000000
rank:64 |send count:8 | recv count: 8 |total Time:20.096720 |compute Time:0.000019 |commuTime:19.863133|IO Time:0.000000
rank:81 |send count:4 | recv count: 4 |total Time:20.096807 |compute Time:0.000018 |commuTime:19.792952|IO Time:0.000000
rank:85 |send count:19 | recv count: 23 |total Time:20.098930 |compute Time:0.000029 |commuTime:19.760791|IO Time:0.000000
rank:98 |send count:13 | recv count: 12 |total Time:20.097975 |compute Time:0.000026 |commuTime:19.661805|IO Time:0.000000
rank:99 |send count:5 | recv count: 5 |total Time:20.098060 |compute Time:0.000019 |commuTime:19.660952|IO Time:0.000000
rank:101 |send count:4 | recv count: 4 |total Time:20.095441 |compute Time:0.000023 |commuTime:19.659055|IO Time:0.000000
rank:106 |send count:9 | recv count: 9 |total Time:20.102071 |compute Time:0.000020 |commuTime:19.655154|IO Time:0.000000
rank:116 |send count:12 | recv count: 13 |total Time:20.095936 |compute Time:0.000024 |commuTime:19.642853|IO Time:0.000000
rank:121 |send count:9 | recv count: 11 |total Time:20.096297 |compute Time:0.000020 |commuTime:19.634515|IO Time:0.000000
rank:127 |send count:11 | recv count: 11 |total Time:20.091849 |compute Time:0.000022 |commuTime:19.625328|IO Time:0.000000
rank:128 |send count:7 | recv count: 7 |total Time:20.094322 |compute Time:0.000018 |commuTime:19.624558|IO Time:0.000000
rank:143 |send count:15 | recv count: 16 |total Time:20.093399 |compute Time:0.000029 |commuTime:19.583346|IO Time:0.000000
rank:149 |send count:9 | recv count: 9 |total Time:20.094166 |compute Time:0.000023 |commuTime:19.575050|IO Time:0.000000
rank:161 |send count:12 | recv count: 12 |total Time:20.093257 |compute Time:0.000024 |commuTime:19.507688|IO Time:0.000000
rank:163 |send count:8 | recv count: 8 |total Time:20.092673 |compute Time:0.000023 |commuTime:19.503250|IO Time:0.000000
rank:172 |send count:6 | recv count: 6 |total Time:20.091305 |compute Time:0.000019 |commuTime:19.473356|IO Time:0.000000
rank:177 |send count:18 | recv count: 17 |total Time:20.078835 |compute Time:0.000029 |commuTime:19.466387|IO Time:0.000000
rank:183 |send count:6 | recv count: 6 |total Time:20.093233 |compute Time:0.000019 |commuTime:19.432878|IO Time:0.000000
rank:203 |send count:15 | recv count: 16 |total Time:20.095985 |compute Time:0.000023 |commuTime:19.351132|IO Time:0.000000
rank:206 |send count:7 | recv count: 7 |total Time:20.094987 |compute Time:0.000020 |commuTime:19.320793|IO Time:0.000000
rank:211 |send count:9 | recv count: 9 |total Time:20.095346 |compute Time:0.000022 |commuTime:19.288838|IO Time:0.000000
rank:215 |send count:9 | recv count: 9 |total Time:20.100059 |compute Time:0.000019 |commuTime:19.281920|IO Time:0.000000
rank:226 |send count:9 | recv count: 7 |total Time:20.098266 |compute Time:0.000039 |commuTime:19.270782|IO Time:0.000000
rank:284 |send count:9 | recv count: 10 |total Time:20.093668 |compute Time:0.000023 |commuTime:19.044379|IO Time:0.000000
rank:307 |send count:18 | recv count: 16 |total Time:20.095414 |compute Time:0.000018 |commuTime:18.996580|IO Time:0.000000
rank:308 |send count:42 | recv count: 22 |total Time:20.096468 |compute Time:0.000029 |commuTime:18.973010|IO Time:0.000000
