rank:2 |send count:28 | recv count: 27 |total Time:0.009343 |compute Time:0.000005 |commuTime:0.007196 |Sync Time:0.001587 |IO Time:0.000000
rank:4 |send count:28 | recv count: 27 |total Time:0.008986 |compute Time:0.000003 |commuTime:0.006541 |Sync Time:0.002241 |IO Time:0.000000
rank:12 |send count:19 | recv count: 18 |total Time:0.008838 |compute Time:0.000006 |commuTime:0.006762 |Sync Time:0.001617 |IO Time:0.000000
rank:5 |send count:46 | recv count: 45 |total Time:0.008994 |compute Time:0.000009 |commuTime:0.007522 |Sync Time:0.001261 |IO Time:0.000000
rank:13 |send count:10 | recv count: 9 |total Time:0.008885 |compute Time:0.000005 |commuTime:0.001508 |Sync Time:0.006873 |IO Time:0.000000
rank:6 |send count:28 | recv count: 27 |total Time:0.009568 |compute Time:0.000010 |commuTime:0.007049 |Sync Time:0.001719 |IO Time:0.000000
rank:14 |send count:37 | recv count: 36 |total Time:0.009271 |compute Time:0.000008 |commuTime:0.001564 |Sync Time:0.006806 |IO Time:0.000000
rank:8 |send count:19 | recv count: 18 |total Time:0.008731 |compute Time:0.000007 |commuTime:0.007759 |Sync Time:0.000950 |IO Time:0.000000
rank:15 |send count:28 | recv count: 27 |total Time:0.009601 |compute Time:0.000011 |commuTime:0.006944 |Sync Time:0.001420 |IO Time:0.000000
rank:9 |send count:28 | recv count: 27 |total Time:0.008796 |compute Time:0.000010 |commuTime:0.007506 |Sync Time:0.000901 |IO Time:0.000000
rank:10 |send count:37 | recv count: 36 |total Time:0.009595 |compute Time:0.000011 |commuTime:0.006937 |Sync Time:0.001483 |IO Time:0.000000
rank:11 |send count:10 | recv count: 9 |total Time:0.009575 |compute Time:0.000008 |commuTime:0.001473 |Sync Time:0.006923 |IO Time:0.000000
rank:40 |send count:19 | recv count: 18 |total Time:0.009221 |compute Time:0.000007 |commuTime:0.006061 |Sync Time:0.001619 |IO Time:0.000000
rank:24 |send count:46 | recv count: 45 |total Time:0.009295 |compute Time:0.000008 |commuTime:0.007482 |Sync Time:0.000845 |IO Time:0.000000
rank:41 |send count:37 | recv count: 36 |total Time:0.009621 |compute Time:0.000008 |commuTime:0.006453 |Sync Time:0.001224 |IO Time:0.000000
rank:25 |send count:37 | recv count: 36 |total Time:0.009298 |compute Time:0.000006 |commuTime:0.007135 |Sync Time:0.001197 |IO Time:0.000000
rank:42 |send count:10 | recv count: 9 |total Time:0.009151 |compute Time:0.000005 |commuTime:0.005916 |Sync Time:0.001745 |IO Time:0.000000
rank:27 |send count:10 | recv count: 9 |total Time:0.009700 |compute Time:0.000005 |commuTime:0.001121 |Sync Time:0.007203 |IO Time:0.000000
rank:43 |send count:19 | recv count: 18 |total Time:0.009135 |compute Time:0.000010 |commuTime:0.006821 |Sync Time:0.000835 |IO Time:0.000000
rank:31 |send count:28 | recv count: 27 |total Time:0.009118 |compute Time:0.000012 |commuTime:0.006765 |Sync Time:0.000973 |IO Time:0.000000
rank:44 |send count:10 | recv count: 9 |total Time:0.009172 |compute Time:0.000009 |commuTime:0.006655 |Sync Time:0.000991 |IO Time:0.000000
rank:1 |send count:19 | recv count: 18 |total Time:0.009052 |compute Time:0.000011 |commuTime:0.007626 |Sync Time:0.001221 |IO Time:0.000000
