rank:728 |send count:1834 | recv count: 1833 |total Time:11.686369 |compute Time:0.000128 |commuTime:2.048637 |Sync Time:0.434548 |IO Time:8.902852
rank:883 |send count:1726 | recv count: 1725 |total Time:11.694319 |compute Time:0.000125 |commuTime:1.976894 |Sync Time:0.612390 |IO Time:8.805459
rank:371 |send count:1861 | recv count: 1860 |total Time:11.696231 |compute Time:0.000155 |commuTime:1.856699 |Sync Time:0.719707 |IO Time:8.727641
rank:902 |send count:1843 | recv count: 1842 |total Time:11.689334 |compute Time:0.000126 |commuTime:1.998107 |Sync Time:0.712840 |IO Time:8.976387
rank:49 |send count:1756 | recv count: 1755 |total Time:11.689905 |compute Time:0.000118 |commuTime:0.805971 |Sync Time:1.775289 |IO Time:8.780663
rank:419 |send count:1756 | recv count: 1755 |total Time:11.707019 |compute Time:0.000109 |commuTime:0.851353 |Sync Time:1.930472 |IO Time:8.923257
rank:794 |send count:1783 | recv count: 1782 |total Time:11.704232 |compute Time:0.000119 |commuTime:1.862389 |Sync Time:0.912150 |IO Time:8.610171
rank:941 |send count:1873 | recv count: 1872 |total Time:11.716812 |compute Time:0.000107 |commuTime:1.874082 |Sync Time:0.751560 |IO Time:8.766458
rank:178 |send count:1828 | recv count: 1827 |total Time:11.695647 |compute Time:0.000118 |commuTime:1.549497 |Sync Time:0.904370 |IO Time:8.838117
rank:230 |send count:1720 | recv count: 1719 |total Time:11.706938 |compute Time:0.000118 |commuTime:1.988259 |Sync Time:0.595944 |IO Time:8.727612
rank:258 |send count:1819 | recv count: 1818 |total Time:11.710113 |compute Time:0.000132 |commuTime:1.788547 |Sync Time:0.960837 |IO Time:8.958538
rank:297 |send count:1804 | recv count: 1803 |total Time:11.701205 |compute Time:0.000117 |commuTime:1.647090 |Sync Time:0.887953 |IO Time:8.686384
rank:409 |send count:1777 | recv count: 1776 |total Time:11.694394 |compute Time:0.000101 |commuTime:1.277563 |Sync Time:1.081163 |IO Time:9.007398
rank:472 |send count:1828 | recv count: 1827 |total Time:11.690572 |compute Time:0.000119 |commuTime:2.144571 |Sync Time:0.541511 |IO Time:8.703763
rank:845 |send count:1807 | recv count: 1806 |total Time:11.703280 |compute Time:0.000122 |commuTime:2.145475 |Sync Time:0.425355 |IO Time:8.827960
rank:146 |send count:1771 | recv count: 1770 |total Time:11.695767 |compute Time:0.000119 |commuTime:1.965654 |Sync Time:0.606197 |IO Time:8.701340
rank:290 |send count:1849 | recv count: 1848 |total Time:11.707436 |compute Time:0.000122 |commuTime:1.540520 |Sync Time:1.020222 |IO Time:8.579732
rank:341 |send count:1756 | recv count: 1755 |total Time:11.697005 |compute Time:0.000094 |commuTime:1.686825 |Sync Time:0.822600 |IO Time:8.931018
rank:355 |send count:1801 | recv count: 1800 |total Time:11.712090 |compute Time:0.000110 |commuTime:2.018743 |Sync Time:0.808506 |IO Time:8.882777
rank:390 |send count:1819 | recv count: 1818 |total Time:11.694096 |compute Time:0.000121 |commuTime:1.833813 |Sync Time:0.828383 |IO Time:9.028646
rank:393 |send count:1864 | recv count: 1863 |total Time:11.694653 |compute Time:0.000138 |commuTime:0.863124 |Sync Time:1.618618 |IO Time:9.087492
rank:605 |send count:1783 | recv count: 1782 |total Time:11.713211 |compute Time:0.000116 |commuTime:1.005981 |Sync Time:1.683853 |IO Time:9.020970
rank:774 |send count:1744 | recv count: 1743 |total Time:11.693219 |compute Time:0.000124 |commuTime:2.258435 |Sync Time:0.406016 |IO Time:8.680557
rank:867 |send count:1726 | recv count: 1725 |total Time:11.704706 |compute Time:0.000127 |commuTime:1.823935 |Sync Time:0.643367 |IO Time:8.960917
rank:973 |send count:1726 | recv count: 1725 |total Time:11.708587 |compute Time:0.000133 |commuTime:2.336088 |Sync Time:0.354470 |IO Time:9.015803
rank:54 |send count:1783 | recv count: 1782 |total Time:11.701646 |compute Time:0.000114 |commuTime:2.049036 |Sync Time:0.773149 |IO Time:8.611033
rank:243 |send count:1891 | recv count: 1890 |total Time:11.705764 |compute Time:0.000129 |commuTime:1.631694 |Sync Time:0.815488 |IO Time:8.977968
rank:358 |send count:1903 | recv count: 1902 |total Time:11.704863 |compute Time:0.000127 |commuTime:1.124248 |Sync Time:1.501021 |IO Time:8.848000
rank:554 |send count:1759 | recv count: 1758 |total Time:11.704464 |compute Time:0.000115 |commuTime:1.635419 |Sync Time:0.746777 |IO Time:9.022759
rank:589 |send count:1867 | recv count: 1866 |total Time:11.707464 |compute Time:0.000130 |commuTime:1.944364 |Sync Time:0.520232 |IO Time:8.966340
rank:617 |send count:1747 | recv count: 1746 |total Time:11.706882 |compute Time:0.000108 |commuTime:1.973766 |Sync Time:0.765090 |IO Time:8.651405
rank:730 |send count:1810 | recv count: 1809 |total Time:11.707387 |compute Time:0.000113 |commuTime:1.090520 |Sync Time:1.488138 |IO Time:8.761355
rank:810 |send count:1783 | recv count: 1782 |total Time:11.699588 |compute Time:0.000107 |commuTime:1.755217 |Sync Time:1.045190 |IO Time:8.579325
rank:854 |send count:1798 | recv count: 1797 |total Time:11.696638 |compute Time:0.000115 |commuTime:1.963328 |Sync Time:0.740978 |IO Time:8.821310
rank:890 |send count:1819 | recv count: 1818 |total Time:11.700229 |compute Time:0.000121 |commuTime:2.052781 |Sync Time:0.448820 |IO Time:8.871200
rank:922 |send count:1834 | recv count: 1833 |total Time:11.701197 |compute Time:0.000106 |commuTime:1.573562 |Sync Time:0.909494 |IO Time:8.806497
rank:986 |send count:1798 | recv count: 1797 |total Time:11.721800 |compute Time:0.000112 |commuTime:1.875301 |Sync Time:0.487898 |IO Time:8.859041
rank:137 |send count:1840 | recv count: 1839 |total Time:11.697635 |compute Time:0.000128 |commuTime:1.426195 |Sync Time:1.082204 |IO Time:8.992578
rank:238 |send count:1831 | recv count: 1830 |total Time:11.714219 |compute Time:0.000119 |commuTime:1.478160 |Sync Time:1.429085 |IO Time:8.798906
rank:262 |send count:1846 | recv count: 1845 |total Time:11.695646 |compute Time:0.000130 |commuTime:2.206775 |Sync Time:0.445232 |IO Time:8.997243
rank:281 |send count:1810 | recv count: 1809 |total Time:11.698176 |compute Time:0.000132 |commuTime:1.641245 |Sync Time:0.884742 |IO Time:8.895692
rank:294 |send count:1837 | recv count: 1836 |total Time:11.720783 |compute Time:0.000128 |commuTime:0.963931 |Sync Time:1.586293 |IO Time:8.849914
rank:351 |send count:1867 | recv count: 1866 |total Time:11.697598 |compute Time:0.000121 |commuTime:1.661344 |Sync Time:0.957965 |IO Time:8.729778
rank:353 |send count:1777 | recv count: 1776 |total Time:11.702061 |compute Time:0.000124 |commuTime:1.009429 |Sync Time:1.558656 |IO Time:8.889351
rank:359 |send count:1786 | recv count: 1785 |total Time:11.713534 |compute Time:0.000113 |commuTime:1.937975 |Sync Time:1.038446 |IO Time:8.714160
rank:387 |send count:1822 | recv count: 1821 |total Time:11.712354 |compute Time:0.000113 |commuTime:2.035647 |Sync Time:0.627996 |IO Time:9.046457
rank:398 |send count:1741 | recv count: 1740 |total Time:11.704817 |compute Time:0.000101 |commuTime:1.481809 |Sync Time:1.344139 |IO Time:8.503657
rank:634 |send count:1786 | recv count: 1785 |total Time:11.715397 |compute Time:0.000142 |commuTime:2.472229 |Sync Time:0.459936 |IO Time:8.780644
rank:819 |send count:1759 | recv count: 1758 |total Time:11.707168 |compute Time:0.000119 |commuTime:1.720413 |Sync Time:0.735896 |IO Time:8.970339
rank:865 |send count:1846 | recv count: 1845 |total Time:11.705743 |compute Time:0.000110 |commuTime:2.054529 |Sync Time:0.374768 |IO Time:9.011646
rank:6 |send count:1843 | recv count: 1842 |total Time:11.698243 |compute Time:0.000119 |commuTime:2.155187 |Sync Time:0.447825 |IO Time:8.750627
rank:37 |send count:1834 | recv count: 1833 |total Time:11.726887 |compute Time:0.000119 |commuTime:1.616086 |Sync Time:0.926280 |IO Time:8.913069
rank:65 |send count:1705 | recv count: 1704 |total Time:11.697843 |compute Time:0.000099 |commuTime:2.212848 |Sync Time:0.731514 |IO Time:8.693670
rank:98 |send count:1783 | recv count: 1782 |total Time:11.719180 |compute Time:0.000119 |commuTime:1.535667 |Sync Time:0.983683 |IO Time:8.804266
rank:110 |send count:1747 | recv count: 1746 |total Time:11.708466 |compute Time:0.000111 |commuTime:1.770467 |Sync Time:0.845904 |IO Time:8.581218
rank:131 |send count:1777 | recv count: 1776 |total Time:11.708647 |compute Time:0.000120 |commuTime:0.957497 |Sync Time:1.641153 |IO Time:8.633567
rank:139 |send count:1798 | recv count: 1797 |total Time:11.718844 |compute Time:0.000129 |commuTime:1.671952 |Sync Time:0.975860 |IO Time:8.868310
rank:246 |send count:1840 | recv count: 1839 |total Time:11.702252 |compute Time:0.000124 |commuTime:1.730837 |Sync Time:0.742033 |IO Time:8.913046
rank:251 |send count:1789 | recv count: 1788 |total Time:11.709519 |compute Time:0.000112 |commuTime:1.796084 |Sync Time:1.059913 |IO Time:8.429696
rank:291 |send count:1780 | recv count: 1779 |total Time:11.717464 |compute Time:0.000111 |commuTime:1.965955 |Sync Time:0.914387 |IO Time:8.835049
rank:293 |send count:1840 | recv count: 1839 |total Time:11.722236 |compute Time:0.000128 |commuTime:1.854171 |Sync Time:0.811105 |IO Time:8.800463
rank:362 |send count:1750 | recv count: 1749 |total Time:11.703960 |compute Time:0.000113 |commuTime:1.316584 |Sync Time:1.037907 |IO Time:8.965902
rank:421 |send count:1828 | recv count: 1827 |total Time:11.737341 |compute Time:0.000122 |commuTime:1.959119 |Sync Time:0.628852 |IO Time:9.147335
rank:425 |send count:1855 | recv count: 1854 |total Time:11.704794 |compute Time:0.000127 |commuTime:1.921443 |Sync Time:0.751576 |IO Time:8.627258
rank:573 |send count:1765 | recv count: 1764 |total Time:11.715661 |compute Time:0.000107 |commuTime:1.594895 |Sync Time:1.035890 |IO Time:9.068892
rank:646 |send count:1759 | recv count: 1758 |total Time:11.698135 |compute Time:0.000116 |commuTime:1.366234 |Sync Time:1.395505 |IO Time:8.841784
rank:669 |send count:1753 | recv count: 1752 |total Time:11.715898 |compute Time:0.000126 |commuTime:1.944566 |Sync Time:0.716539 |IO Time:9.052247
rank:687 |send count:1795 | recv count: 1794 |total Time:11.725647 |compute Time:0.000123 |commuTime:1.705650 |Sync Time:0.841932 |IO Time:8.929874
rank:781 |send count:1852 | recv count: 1851 |total Time:11.714044 |compute Time:0.000129 |commuTime:2.306243 |Sync Time:0.402525 |IO Time:9.003098
rank:825 |send count:1876 | recv count: 1875 |total Time:11.706108 |compute Time:0.000125 |commuTime:1.752870 |Sync Time:0.775134 |IO Time:8.925138
rank:894 |send count:1852 | recv count: 1851 |total Time:11.717311 |compute Time:0.000115 |commuTime:2.159366 |Sync Time:0.806091 |IO Time:8.749337
rank:919 |send count:1771 | recv count: 1770 |total Time:11.701298 |compute Time:0.000107 |commuTime:0.598160 |Sync Time:2.045946 |IO Time:8.701524
rank:995 |send count:1789 | recv count: 1788 |total Time:11.701596 |compute Time:0.000110 |commuTime:1.771098 |Sync Time:0.949165 |IO Time:8.869486
rank:107 |send count:1852 | recv count: 1851 |total Time:11.710736 |compute Time:0.000106 |commuTime:1.804057 |Sync Time:0.776630 |IO Time:8.729754
rank:157 |send count:1753 | recv count: 1752 |total Time:11.715319 |compute Time:0.000128 |commuTime:1.831428 |Sync Time:0.904454 |IO Time:8.977015
rank:305 |send count:1765 | recv count: 1764 |total Time:11.700205 |compute Time:0.000122 |commuTime:2.028219 |Sync Time:0.724701 |IO Time:8.726823
rank:342 |send count:1789 | recv count: 1788 |total Time:11.699903 |compute Time:0.000120 |commuTime:1.741034 |Sync Time:0.719427 |IO Time:8.902802
rank:350 |send count:1843 | recv count: 1842 |total Time:11.700129 |compute Time:0.000124 |commuTime:2.217000 |Sync Time:0.596028 |IO Time:8.885289
rank:357 |send count:1834 | recv count: 1833 |total Time:11.714661 |compute Time:0.000124 |commuTime:2.188769 |Sync Time:0.615930 |IO Time:8.575225
rank:414 |send count:1837 | recv count: 1836 |total Time:11.700175 |compute Time:0.000124 |commuTime:2.060091 |Sync Time:0.628906 |IO Time:8.682797
rank:435 |send count:1834 | recv count: 1833 |total Time:11.709839 |compute Time:0.000116 |commuTime:0.645521 |Sync Time:1.816841 |IO Time:8.962829
rank:474 |send count:1765 | recv count: 1764 |total Time:11.704112 |compute Time:0.000120 |commuTime:1.622467 |Sync Time:0.901077 |IO Time:8.864050
rank:490 |send count:1723 | recv count: 1722 |total Time:11.702534 |compute Time:0.000140 |commuTime:2.058172 |Sync Time:0.558819 |IO Time:8.794029
rank:518 |send count:1786 | recv count: 1785 |total Time:11.701517 |compute Time:0.257806 |commuTime:1.896198 |Sync Time:0.420498 |IO Time:8.931879
rank:538 |send count:1834 | recv count: 1833 |total Time:11.702817 |compute Time:0.000130 |commuTime:1.595633 |Sync Time:0.994629 |IO Time:8.868916
rank:553 |send count:1783 | recv count: 1782 |total Time:11.711105 |compute Time:0.000133 |commuTime:1.542546 |Sync Time:0.909343 |IO Time:8.974556
rank:566 |send count:1804 | recv count: 1803 |total Time:11.702814 |compute Time:0.000119 |commuTime:1.641190 |Sync Time:0.658976 |IO Time:9.203252
rank:653 |send count:1882 | recv count: 1881 |total Time:11.718090 |compute Time:0.000126 |commuTime:1.990858 |Sync Time:0.845580 |IO Time:8.879862
rank:681 |send count:1744 | recv count: 1743 |total Time:11.704721 |compute Time:0.000104 |commuTime:1.890834 |Sync Time:0.815472 |IO Time:8.565509
rank:735 |send count:1762 | recv count: 1761 |total Time:11.699295 |compute Time:0.000134 |commuTime:0.083088 |Sync Time:1.203392 |IO Time:10.056412
rank:858 |send count:1828 | recv count: 1827 |total Time:11.710049 |compute Time:0.000118 |commuTime:1.960426 |Sync Time:0.529138 |IO Time:8.828172
rank:875 |send count:1774 | recv count: 1773 |total Time:11.713528 |compute Time:0.000125 |commuTime:2.145188 |Sync Time:0.669914 |IO Time:8.534323
rank:889 |send count:1858 | recv count: 1857 |total Time:11.714363 |compute Time:0.000130 |commuTime:2.281605 |Sync Time:0.516701 |IO Time:8.572586
rank:893 |send count:1810 | recv count: 1809 |total Time:11.709139 |compute Time:0.000131 |commuTime:2.336614 |Sync Time:0.377560 |IO Time:8.758629
rank:959 |send count:1867 | recv count: 1866 |total Time:11.718649 |compute Time:0.000135 |commuTime:1.843079 |Sync Time:1.158690 |IO Time:8.714826
rank:977 |send count:1906 | recv count: 1905 |total Time:11.701382 |compute Time:0.000121 |commuTime:1.876309 |Sync Time:0.705133 |IO Time:8.959293
rank:982 |send count:1798 | recv count: 1797 |total Time:11.716644 |compute Time:0.000121 |commuTime:2.005486 |Sync Time:0.654986 |IO Time:9.054117
rank:18 |send count:1765 | recv count: 1764 |total Time:11.715634 |compute Time:0.000120 |commuTime:1.798007 |Sync Time:0.779700 |IO Time:8.757775
rank:27 |send count:1738 | recv count: 1737 |total Time:11.716354 |compute Time:0.000103 |commuTime:1.694737 |Sync Time:0.970340 |IO Time:9.049195
rank:42 |send count:1762 | recv count: 1761 |total Time:11.710333 |compute Time:0.000124 |commuTime:1.795088 |Sync Time:0.778599 |IO Time:8.856401
rank:71 |send count:1657 | recv count: 1656 |total Time:11.702143 |compute Time:0.000108 |commuTime:1.665436 |Sync Time:1.026518 |IO Time:8.926416
rank:91 |send count:1711 | recv count: 1710 |total Time:11.717295 |compute Time:0.000130 |commuTime:2.005040 |Sync Time:0.813648 |IO Time:8.896460
rank:102 |send count:1852 | recv count: 1851 |total Time:11.710902 |compute Time:0.000120 |commuTime:1.966227 |Sync Time:0.687727 |IO Time:8.816626
rank:158 |send count:1813 | recv count: 1812 |total Time:11.700548 |compute Time:0.000110 |commuTime:1.883322 |Sync Time:0.635031 |IO Time:9.180386
rank:169 |send count:1804 | recv count: 1803 |total Time:11.703304 |compute Time:0.000121 |commuTime:1.421939 |Sync Time:0.937061 |IO Time:9.015496
rank:203 |send count:1861 | recv count: 1860 |total Time:11.713212 |compute Time:0.000119 |commuTime:2.074876 |Sync Time:0.596296 |IO Time:8.725386
rank:213 |send count:1759 | recv count: 1758 |total Time:11.709383 |compute Time:0.000121 |commuTime:0.743700 |Sync Time:1.704879 |IO Time:8.796972
rank:223 |send count:1753 | recv count: 1752 |total Time:11.701135 |compute Time:0.000112 |commuTime:1.427978 |Sync Time:1.075004 |IO Time:8.842988
rank:289 |send count:1864 | recv count: 1863 |total Time:11.707294 |compute Time:0.000144 |commuTime:1.951837 |Sync Time:0.756041 |IO Time:8.702990
rank:363 |send count:1798 | recv count: 1797 |total Time:11.710307 |compute Time:0.326131 |commuTime:1.763532 |Sync Time:0.686034 |IO Time:8.634333
rank:376 |send count:1771 | recv count: 1770 |total Time:11.706135 |compute Time:0.000131 |commuTime:2.095203 |Sync Time:0.569924 |IO Time:8.692726
rank:410 |send count:1819 | recv count: 1818 |total Time:11.703254 |compute Time:0.000114 |commuTime:1.786667 |Sync Time:0.954851 |IO Time:8.822436
rank:415 |send count:1840 | recv count: 1839 |total Time:11.702252 |compute Time:0.000111 |commuTime:1.573000 |Sync Time:0.941963 |IO Time:8.831718
rank:430 |send count:1714 | recv count: 1713 |total Time:11.710347 |compute Time:0.000122 |commuTime:1.818924 |Sync Time:0.923897 |IO Time:8.528001
rank:499 |send count:1750 | recv count: 0 |total Time:11.711328 |compute Time:0.000031 |commuTime:0.001687 |Sync Time:2.703676 |IO Time:8.754052
rank:517 |send count:1810 | recv count: 1809 |total Time:11.720814 |compute Time:0.000109 |commuTime:2.187434 |Sync Time:0.387104 |IO Time:9.143027
rank:547 |send count:1843 | recv count: 1842 |total Time:11.708635 |compute Time:0.000103 |commuTime:1.443297 |Sync Time:1.147705 |IO Time:8.882116
rank:550 |send count:1783 | recv count: 1782 |total Time:11.715912 |compute Time:0.000122 |commuTime:2.205169 |Sync Time:0.598822 |IO Time:8.293110
rank:558 |send count:1771 | recv count: 1770 |total Time:11.708969 |compute Time:0.000118 |commuTime:1.263007 |Sync Time:1.568486 |IO Time:8.585258
rank:598 |send count:1756 | recv count: 1755 |total Time:11.703169 |compute Time:0.000123 |commuTime:1.819466 |Sync Time:0.634159 |IO Time:8.993949
rank:602 |send count:1801 | recv count: 1800 |total Time:11.715343 |compute Time:0.000096 |commuTime:1.624713 |Sync Time:0.907384 |IO Time:8.744031
rank:627 |send count:1795 | recv count: 1794 |total Time:11.709572 |compute Time:0.000123 |commuTime:1.145516 |Sync Time:1.658571 |IO Time:8.628952
rank:633 |send count:1834 | recv count: 1833 |total Time:11.712576 |compute Time:0.000127 |commuTime:1.838657 |Sync Time:0.666486 |IO Time:8.850113
rank:663 |send count:1831 | recv count: 1830 |total Time:11.704447 |compute Time:0.000115 |commuTime:0.519393 |Sync Time:1.976879 |IO Time:8.851443
rank:691 |send count:1864 | recv count: 1863 |total Time:11.705609 |compute Time:0.000115 |commuTime:1.943277 |Sync Time:0.721563 |IO Time:8.705277
rank:714 |send count:1738 | recv count: 1737 |total Time:11.714705 |compute Time:0.000123 |commuTime:1.074387 |Sync Time:1.487531 |IO Time:8.784784
rank:737 |send count:1798 | recv count: 1797 |total Time:11.704630 |compute Time:0.000167 |commuTime:2.053804 |Sync Time:0.513720 |IO Time:8.948425
rank:769 |send count:1804 | recv count: 1803 |total Time:11.704612 |compute Time:0.000119 |commuTime:1.021947 |Sync Time:1.354070 |IO Time:8.996200
rank:791 |send count:1795 | recv count: 1794 |total Time:11.705392 |compute Time:0.000124 |commuTime:1.888774 |Sync Time:1.050148 |IO Time:8.426258
rank:809 |send count:1735 | recv count: 1734 |total Time:11.714292 |compute Time:0.000115 |commuTime:0.703133 |Sync Time:1.757558 |IO Time:8.689398
rank:838 |send count:1834 | recv count: 1833 |total Time:11.702548 |compute Time:0.000103 |commuTime:1.942461 |Sync Time:0.590847 |IO Time:9.053610
rank:846 |send count:1870 | recv count: 1869 |total Time:11.706339 |compute Time:0.000123 |commuTime:1.781853 |Sync Time:0.765988 |IO Time:8.842040
rank:861 |send count:1858 | recv count: 1857 |total Time:11.715639 |compute Time:0.000129 |commuTime:1.959788 |Sync Time:0.566984 |IO Time:8.769204
rank:878 |send count:1813 | recv count: 1812 |total Time:11.703417 |compute Time:0.000113 |commuTime:1.038864 |Sync Time:1.412212 |IO Time:9.141033
rank:909 |send count:1738 | recv count: 1737 |total Time:11.722402 |compute Time:0.000118 |commuTime:1.183765 |Sync Time:1.474514 |IO Time:8.794785
