rank:667 |send count:1921 | recv count: 1920 |total Time:11.807023 |compute Time:0.000119 |commuTime:1.234142 |Sync Time:1.506400 |IO Time:9.064671
rank:37 |send count:1834 | recv count: 1833 |total Time:11.803956 |compute Time:0.000111 |commuTime:1.855855 |Sync Time:1.130572 |IO Time:8.815364
rank:219 |send count:1777 | recv count: 1776 |total Time:11.823756 |compute Time:0.000100 |commuTime:1.658411 |Sync Time:1.439334 |IO Time:8.724132
rank:232 |send count:1783 | recv count: 1782 |total Time:11.799925 |compute Time:0.000114 |commuTime:2.100457 |Sync Time:0.904759 |IO Time:8.792884
rank:351 |send count:1867 | recv count: 1866 |total Time:11.814880 |compute Time:0.000114 |commuTime:2.163106 |Sync Time:0.903098 |IO Time:8.746819
rank:767 |send count:1858 | recv count: 1857 |total Time:11.822568 |compute Time:0.000113 |commuTime:2.014848 |Sync Time:1.140043 |IO Time:8.665691
rank:469 |send count:1801 | recv count: 1800 |total Time:11.807827 |compute Time:0.000113 |commuTime:2.338018 |Sync Time:0.909619 |IO Time:8.558260
rank:720 |send count:1810 | recv count: 1809 |total Time:11.792993 |compute Time:0.000107 |commuTime:1.558394 |Sync Time:1.081512 |IO Time:9.151251
rank:791 |send count:1795 | recv count: 1794 |total Time:11.800654 |compute Time:0.000117 |commuTime:2.139297 |Sync Time:0.855957 |IO Time:8.803043
rank:868 |send count:1819 | recv count: 1818 |total Time:11.790462 |compute Time:0.000106 |commuTime:2.323797 |Sync Time:0.619838 |IO Time:8.841047
rank:124 |send count:1780 | recv count: 1779 |total Time:11.791431 |compute Time:0.000123 |commuTime:2.306517 |Sync Time:0.620705 |IO Time:8.858422
rank:318 |send count:1732 | recv count: 1731 |total Time:11.812997 |compute Time:0.000118 |commuTime:2.034401 |Sync Time:0.670433 |IO Time:9.106344
rank:421 |send count:1828 | recv count: 1827 |total Time:11.802629 |compute Time:0.000131 |commuTime:0.794691 |Sync Time:2.173366 |IO Time:8.832423
rank:481 |send count:1798 | recv count: 1797 |total Time:11.804294 |compute Time:0.000119 |commuTime:2.276989 |Sync Time:0.744025 |IO Time:8.781085
rank:635 |send count:1834 | recv count: 1833 |total Time:11.809176 |compute Time:0.000129 |commuTime:2.622250 |Sync Time:0.581692 |IO Time:8.603183
rank:752 |send count:1798 | recv count: 1797 |total Time:11.786247 |compute Time:0.000148 |commuTime:1.786350 |Sync Time:0.872601 |IO Time:9.091264
