processNum:9
processNum:9
processNum:9
processNum:9
processNum:9
processNum:9
processNum:9
processNum:9
processNum:9
pointNum:136800  rank:6  time:3.893728  
pointNum:112000  rank:8  time:3.893733  
pointNum:60800  rank:4  time:3.893755  
pointNum:73600  rank:5  time:3.893736  
pointNum:77600  rank:7  time:3.893725  
pointNum:68800  rank:2  time:3.894385  
pointNum:59200  rank:1  time:3.894769  
pointNum:51200  rank:3  time:3.894828  
pointNum:0  rank:0  time:3.894864  
