rank:125 |send count:1997 | recv count: 1996 |total Time:21.210042 |compute Time:0.000150 |commuTime:20.975761 |Sync Time:0.234131 |IO Time:0.000000
rank:373 |send count:1997 | recv count: 1996 |total Time:21.214378 |compute Time:0.000128 |commuTime:21.035291 |Sync Time:0.178958 |IO Time:0.000000
rank:56 |send count:1997 | recv count: 1996 |total Time:21.210832 |compute Time:0.000174 |commuTime:20.974195 |Sync Time:0.236462 |IO Time:0.000000
rank:93 |send count:1997 | recv count: 1996 |total Time:21.207532 |compute Time:0.000158 |commuTime:20.922816 |Sync Time:0.284558 |IO Time:0.000000
rank:300 |send count:1997 | recv count: 1996 |total Time:21.204395 |compute Time:0.000160 |commuTime:21.025661 |Sync Time:0.178574 |IO Time:0.000000
rank:312 |send count:1997 | recv count: 1996 |total Time:21.205609 |compute Time:0.000131 |commuTime:21.018571 |Sync Time:0.186907 |IO Time:0.000000
rank:428 |send count:1997 | recv count: 1996 |total Time:21.204725 |compute Time:0.000131 |commuTime:21.037443 |Sync Time:0.167150 |IO Time:0.000000
rank:52 |send count:1997 | recv count: 1996 |total Time:21.213817 |compute Time:0.000144 |commuTime:20.961627 |Sync Time:0.252046 |IO Time:0.000000
rank:57 |send count:1997 | recv count: 1996 |total Time:21.212913 |compute Time:0.000170 |commuTime:20.976222 |Sync Time:0.236521 |IO Time:0.000000
rank:61 |send count:1997 | recv count: 1996 |total Time:21.209810 |compute Time:0.000188 |commuTime:20.960226 |Sync Time:0.249396 |IO Time:0.000000
rank:20 |send count:1997 | recv count: 1996 |total Time:21.216216 |compute Time:0.000190 |commuTime:20.984823 |Sync Time:0.231204 |IO Time:0.000000
rank:172 |send count:1997 | recv count: 1996 |total Time:21.206815 |compute Time:0.000172 |commuTime:20.989847 |Sync Time:0.216796 |IO Time:0.000000
rank:347 |send count:1997 | recv count: 1996 |total Time:21.212272 |compute Time:0.000142 |commuTime:21.042848 |Sync Time:0.169282 |IO Time:0.000000
rank:308 |send count:1997 | recv count: 1996 |total Time:21.212558 |compute Time:0.000145 |commuTime:20.963487 |Sync Time:0.248926 |IO Time:0.000000
rank:316 |send count:1997 | recv count: 1996 |total Time:21.207417 |compute Time:0.000149 |commuTime:21.006742 |Sync Time:0.200526 |IO Time:0.000000
rank:371 |send count:1997 | recv count: 1996 |total Time:21.213927 |compute Time:0.000143 |commuTime:20.980200 |Sync Time:0.233584 |IO Time:0.000000
rank:386 |send count:1997 | recv count: 1996 |total Time:21.208316 |compute Time:0.000143 |commuTime:20.974098 |Sync Time:0.234075 |IO Time:0.000000
rank:22 |send count:1997 | recv count: 1996 |total Time:21.215261 |compute Time:0.000176 |commuTime:21.036449 |Sync Time:0.178636 |IO Time:0.000000
rank:36 |send count:1997 | recv count: 1996 |total Time:21.214573 |compute Time:0.000170 |commuTime:21.005996 |Sync Time:0.208407 |IO Time:0.000000
rank:117 |send count:1997 | recv count: 1996 |total Time:21.218073 |compute Time:0.000171 |commuTime:20.961993 |Sync Time:0.255909 |IO Time:0.000000
rank:119 |send count:1997 | recv count: 1996 |total Time:21.219528 |compute Time:0.000162 |commuTime:20.943960 |Sync Time:0.275406 |IO Time:0.000000
rank:123 |send count:1997 | recv count: 1996 |total Time:21.216527 |compute Time:0.000174 |commuTime:21.073975 |Sync Time:0.142377 |IO Time:0.000000
rank:154 |send count:1997 | recv count: 1996 |total Time:21.211118 |compute Time:0.000162 |commuTime:20.996759 |Sync Time:0.214197 |IO Time:0.000000
rank:200 |send count:1997 | recv count: 1996 |total Time:21.213213 |compute Time:0.000156 |commuTime:21.082119 |Sync Time:0.130938 |IO Time:0.000000
rank:361 |send count:1997 | recv count: 1996 |total Time:21.213122 |compute Time:0.000141 |commuTime:21.105763 |Sync Time:0.107217 |IO Time:0.000000
rank:456 |send count:1997 | recv count: 1996 |total Time:21.210027 |compute Time:0.000122 |commuTime:21.066638 |Sync Time:0.143267 |IO Time:0.000000
rank:475 |send count:1997 | recv count: 1996 |total Time:21.209699 |compute Time:0.000118 |commuTime:21.056228 |Sync Time:0.153352 |IO Time:0.000000
rank:4 |send count:1997 | recv count: 1996 |total Time:21.209773 |compute Time:0.000277 |commuTime:21.024097 |Sync Time:0.185398 |IO Time:0.000000
rank:115 |send count:1997 | recv count: 1996 |total Time:21.218185 |compute Time:0.000158 |commuTime:20.958928 |Sync Time:0.259100 |IO Time:0.000000
rank:122 |send count:1997 | recv count: 1996 |total Time:21.214490 |compute Time:0.000155 |commuTime:20.962392 |Sync Time:0.251943 |IO Time:0.000000
rank:243 |send count:1997 | recv count: 1996 |total Time:21.217174 |compute Time:0.000148 |commuTime:21.004377 |Sync Time:0.212649 |IO Time:0.000000
rank:280 |send count:1997 | recv count: 1996 |total Time:21.209615 |compute Time:0.000140 |commuTime:21.013905 |Sync Time:0.195570 |IO Time:0.000000
rank:313 |send count:1997 | recv count: 1996 |total Time:21.210048 |compute Time:0.000152 |commuTime:21.049544 |Sync Time:0.160352 |IO Time:0.000000
rank:363 |send count:1997 | recv count: 1996 |total Time:21.212178 |compute Time:0.000146 |commuTime:21.056534 |Sync Time:0.155498 |IO Time:0.000000
rank:408 |send count:1997 | recv count: 1996 |total Time:21.206107 |compute Time:0.000127 |commuTime:21.017074 |Sync Time:0.188905 |IO Time:0.000000
rank:418 |send count:1997 | recv count: 1996 |total Time:21.213612 |compute Time:0.000126 |commuTime:21.030085 |Sync Time:0.183401 |IO Time:0.000000
rank:187 |send count:1997 | recv count: 1996 |total Time:21.211121 |compute Time:0.000165 |commuTime:21.015843 |Sync Time:0.195113 |IO Time:0.000000
rank:251 |send count:1997 | recv count: 1996 |total Time:21.217002 |compute Time:0.000122 |commuTime:21.047196 |Sync Time:0.169684 |IO Time:0.000000
rank:394 |send count:1997 | recv count: 1996 |total Time:21.208832 |compute Time:0.000164 |commuTime:21.039530 |Sync Time:0.169138 |IO Time:0.000000
rank:429 |send count:1997 | recv count: 1996 |total Time:21.208173 |compute Time:0.000129 |commuTime:20.957178 |Sync Time:0.250866 |IO Time:0.000000
rank:448 |send count:1997 | recv count: 1996 |total Time:21.206262 |compute Time:0.000125 |commuTime:21.059578 |Sync Time:0.146559 |IO Time:0.000000
rank:488 |send count:1997 | recv count: 1996 |total Time:21.212175 |compute Time:0.000112 |commuTime:21.033635 |Sync Time:0.178428 |IO Time:0.000000
rank:24 |send count:1997 | recv count: 1996 |total Time:21.211135 |compute Time:0.000193 |commuTime:21.009836 |Sync Time:0.201107 |IO Time:0.000000
